layer,component,explained_variance_ratio,cumulative_explained_variance
0,0,0.04159589856863022,0.04159589856863022
0,1,0.030521681532263756,0.07211758010089397
0,2,0.015498831868171692,0.08761641196906567
0,3,0.01063655037432909,0.09825296234339476
0,4,0.010387341491878033,0.10864030383527279
0,5,0.009443872608244419,0.11808417644351721
0,6,0.009178475476801395,0.1272626519203186
0,7,0.008365464396774769,0.13562811631709337
0,8,0.00811653584241867,0.14374465215951204
0,9,0.007595124654471874,0.15133977681398392
0,10,0.007037699222564697,0.15837747603654861
0,11,0.006954014301300049,0.16533149033784866
0,12,0.006540852133184671,0.17187234247103333
0,13,0.006401157472282648,0.17827349994331598
0,14,0.006239523645490408,0.1845130235888064
0,15,0.005948858801275492,0.19046188239008188
0,16,0.005835693795233965,0.19629757618531585
0,17,0.005635544192045927,0.20193312037736177
0,18,0.005507342983037233,0.207440463360399
0,19,0.005400636233389378,0.21284109959378839
0,20,0.005145315080881119,0.2179864146746695
0,21,0.0050613353960216045,0.2230477500706911
0,22,0.004923461005091667,0.22797121107578278
0,23,0.004646304063498974,0.23261751513928175
0,24,0.004621826112270355,0.2372393412515521
0,25,0.00442025251686573,0.24165959376841784
0,26,0.004340110346674919,0.24599970411509275
0,27,0.004310229793190956,0.2503099339082837
0,28,0.004283953458070755,0.25459388736635447
0,29,0.004088503308594227,0.2586823906749487
0,30,0.004062661435455084,0.2627450521104038
0,31,0.0038924477994441986,0.266637499909848
0,32,0.0038077537901699543,0.27044525370001793
0,33,0.0037802921142429113,0.27422554581426084
0,34,0.0037632498424500227,0.27798879565671086
0,35,0.003630496794357896,0.28161929245106876
0,36,0.00361776165664196,0.2852370541077107
0,37,0.0035285705234855413,0.28876562463119626
0,38,0.0034582188818603754,0.29222384351305664
0,39,0.003387616714462638,0.2956114602275193
0,40,0.0033682214561849833,0.29897968168370426
0,41,0.0033321231603622437,0.3023118048440665
0,42,0.0032316185534000397,0.30554342339746654
0,43,0.0031811012886464596,0.308724524686113
0,44,0.003158037317916751,0.31188256200402975
0,45,0.0030550179071724415,0.3149375799112022
0,46,0.003036289010196924,0.3179738689213991
0,47,0.0030024528969079256,0.32097632181830704
0,48,0.002957909367978573,0.3239342311862856
0,49,0.0029317873995751143,0.32686601858586073
0,50,0.002917066216468811,0.32978308480232954
0,51,0.0028301244601607323,0.3326132092624903
0,52,0.002818408655002713,0.335431617917493
