layer,direct_normalized_mse,mapping_normalized_mse,difference
0,1.618445873260498,1.618445873260498,0.0
1,0.8121578097343445,0.8121578097343445,0.0
2,0.7908114790916443,0.7908114790916443,0.0
3,0.5714467763900757,0.5714467763900757,0.0
4,0.48836544156074524,0.48836544156074524,0.0
5,0.35704314708709717,0.35704314708709717,0.0
6,0.3391292095184326,0.3391292095184326,0.0
7,0.26635825634002686,0.26635825634002686,0.0
