layer,raw_mse,normalized_mse,target_power,reconstruction_power,power_ratio,cosine_similarity,pearson_correlation
0,12.846923828125,1.001181960105896,12.831757545471191,0.014345446601510048,0.0011179642751812935,-0.0009538037120364606,-0.0008785614045336843
1,2.458691358566284,1.0057381391525269,2.4446635246276855,0.014302504248917103,0.005850499961525202,0.0007341271848417819,0.0007370763341896236
2,1.5397768020629883,1.010660171508789,1.5235357284545898,0.014207763597369194,0.009325520135462284,-0.006909611169248819,-0.0069062174297869205
3,1.1585420370101929,1.0130183696746826,1.1436535120010376,0.0144485579803586,0.012633685022592545,-0.0017111143097281456,-0.001686318893916905
4,0.9240126013755798,1.0149649381637573,0.910388708114624,0.014299368485808372,0.015706881880760193,0.0029600881971418858,0.002967369044199586
5,0.7199888825416565,1.0210118293762207,0.7051719427108765,0.01425114180892706,0.020209455862641335,-0.0028218512888997793,-0.002824605442583561
6,0.6603992581367493,1.0204297304153442,0.6471775770187378,0.01439355593174696,0.02224050462245941,0.0060715749859809875,0.006070204544812441
7,0.5276513695716858,1.0288729667663574,0.5128440260887146,0.014256572350859642,0.02779904194176197,-0.003220684826374054,-0.0032125439029186964
