approximate_local_inband_jsr_db,jammed_subcarrier_fraction,requested_global_jsr_db
-0.9690999984741211,0.125,-10.0
-3.979399800300598,0.25,-10.0
-6.989699900150299,0.5,-10.0
4.030900001525879,0.125,-5.0
1.0206001996994019,0.25,-5.0
-1.989699900150299,0.5,-5.0
9.030900001525879,0.125,0.0
6.020600199699402,0.25,0.0
3.010300099849701,0.5,0.0
