aggregate_normalized_mse,pilot_resource_overlap_ratio,sample_id
0.7726249285042286,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=3
0.837874136865139,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=3
0.8482389934360981,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=4
0.7619592603296041,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=4
0.7627052888274193,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=4
0.8063643649220467,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=5
0.7888403497636318,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=5
0.7816998288035393,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=5
0.8210466094315052,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=6
0.7978365607559681,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=6
0.863795593380928,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=6
0.7953998930752277,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=7
0.72299550101161,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=7
0.858051024377346,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=7
0.7565581686794758,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=8
0.7695430666208267,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=8
0.7652908600866795,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=8
0.728841183707118,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=9
0.8115161918103695,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=9
0.7922727912664413,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=9
0.7207400519400835,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=10
0.776779767125845,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=10
0.8008727394044399,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=10
0.8121308237314224,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=11
0.7995059452950954,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=11
0.8414403274655342,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=11
0.838668305426836,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=12
0.7908563632518053,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=12
0.8347229026257992,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=12
0.8998370617628098,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=13
0.8143040612339973,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=13
0.779019184410572,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=13
0.7745915427803993,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=14
0.7428167872130871,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=14
0.7953629046678543,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=14
0.8312029056251049,0.25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=15
0.7517942152917385,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=15
0.8303995169699192,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=15
0.7861996702849865,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=0
0.8153037130832672,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=0
0.7512160390615463,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=0
0.745246697217226,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=1
0.8113870397210121,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=1
0.7875598631799221,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=1
0.7347583584487438,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=2
0.8499733991920948,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=2
0.7839963026344776,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=2
