layer0_normalized_mse,layer1_normalized_mse,layer2_normalized_mse,layer3_normalized_mse,layer4_normalized_mse,layer5_normalized_mse,layer6_normalized_mse,layer7_normalized_mse,narrowband_start_index,sample_id
0.28315824270248413,0.6691181659698486,0.7336637377738953,0.8156657218933105,0.838024377822876,0.9438745975494385,1.0196654796600342,0.9779043793678284,33,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=0
0.38993850350379944,0.7742233276367188,0.9639161229133606,0.8818821907043457,0.8322166204452515,0.8683604598045349,0.9175208806991577,0.9021671414375305,21,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=0
0.3710353672504425,0.6860252022743225,0.8050021529197693,0.9263546466827393,0.7119446396827698,0.8450455069541931,0.8045241832733154,0.8450664281845093,28,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=0
0.24266844987869263,0.8465265035629272,0.7732120156288147,0.7532437443733215,0.7004733085632324,0.9891983866691589,0.9010027647018433,0.7565414905548096,12,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=1
0.27672362327575684,0.9013102054595947,0.8820019364356995,0.8443812131881714,0.8783118724822998,0.9556877613067627,0.9147853255271912,0.8289355039596558,36,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=1
0.3510640263557434,0.7770456671714783,0.7976089119911194,0.8453423380851746,0.899732768535614,0.8516125082969666,0.901164174079895,0.9053348302841187,34,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=1
0.18827848136425018,0.7640331387519836,0.6756027340888977,0.8086545467376709,0.8449398279190063,0.79027259349823,0.9364497065544128,0.8533326387405396,52,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=2
0.4998389780521393,0.8656726479530334,0.7570794224739075,0.8386921882629395,0.9575076103210449,1.0011515617370605,0.8621823191642761,0.8800866603851318,35,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=2
0.3984966278076172,0.762560248374939,0.825186014175415,0.8099617958068848,0.8346373438835144,0.9103169441223145,0.9028019309043884,0.9020260572433472,13,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=2
0.6392688155174255,0.9249997735023499,0.8783797025680542,0.9562520384788513,0.9024778008460999,0.8167933225631714,0.8782913684844971,0.9822907447814941,47,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=3
0.28878945112228394,0.7109329104423523,0.7629722356796265,0.8256545662879944,0.8113963007926941,0.9346327185630798,0.9360004663467407,0.9170965552330017,39,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=3
0.5173494815826416,0.8500613570213318,0.7901952862739563,0.8825502395629883,0.8582949638366699,0.882526159286499,0.9353502988815308,0.9322179555892944,4,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=3
0.4334556758403778,0.9434521198272705,0.9059653282165527,0.9082099795341492,0.8196622133255005,0.9544885158538818,0.8821561932563782,0.9482112526893616,47,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=4
0.2315598577260971,0.7224808931350708,0.8077278733253479,0.8295686841011047,0.8557032942771912,0.8553996682167053,0.848151445388794,0.9389331936836243,24,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=4
0.40450572967529297,0.5807670950889587,0.7874665260314941,0.8488181829452515,0.8307009339332581,0.8665223121643066,0.8854418992996216,0.9052761793136597,27,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=4
0.3594695031642914,0.8453323245048523,0.8449597358703613,0.9095499515533447,0.8796762824058533,0.8082109689712524,0.9095062613487244,0.8716822862625122,12,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=5
0.4076002836227417,0.8663466572761536,0.7541976571083069,0.8318291306495667,0.8434649705886841,0.8439791798591614,0.848024845123291,0.9368439316749573,10,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=5
0.35103052854537964,0.7703021168708801,0.8267252445220947,0.8018737435340881,0.8161059021949768,0.9057750105857849,0.8888972401618958,0.8847347497940063,3,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=5
0.49318158626556396,0.7286025881767273,0.7349220514297485,0.7914459109306335,0.9593544602394104,0.9836905002593994,0.9104940295219421,0.9585667252540588,43,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=6
0.283916175365448,0.4256536066532135,0.9166263341903687,0.9863054752349854,0.9301418662071228,0.9380627274513245,0.9360900521278381,0.9185284972190857,36,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=6
