aggregate_cosine_similarity_mean,aggregate_cosine_similarity_std,aggregate_cosine_similarity_worst_decile,aggregate_cosine_similarity_worst_sample,aggregate_normalized_mse_mean,aggregate_normalized_mse_std,aggregate_normalized_mse_worst_decile,aggregate_normalized_mse_worst_sample,aggregate_optimal_scalar_rescaled_normalized_loss_mean,aggregate_optimal_scalar_rescaled_normalized_loss_std,aggregate_optimal_scalar_rescaled_normalized_loss_worst_decile,aggregate_optimal_scalar_rescaled_normalized_loss_worst_sample,aggregate_pearson_correlation_mean,aggregate_pearson_correlation_std,aggregate_pearson_correlation_worst_decile,aggregate_pearson_correlation_worst_sample,aggregate_power_ratio_mean,aggregate_power_ratio_std,aggregate_power_ratio_worst_decile,aggregate_power_ratio_worst_sample,aggregate_raw_mse_mean,aggregate_raw_mse_std,aggregate_raw_mse_worst_decile,aggregate_raw_mse_worst_sample,aggregate_relative_improvement_over_zero_mean,aggregate_relative_improvement_over_zero_std,aggregate_relative_improvement_over_zero_worst_decile,aggregate_relative_improvement_over_zero_worst_sample,csi_nmse_mean,csi_nmse_std,csi_nmse_worst_decile,csi_nmse_worst_sample,group,jsr_db,layer7_relative_improvement_over_zero_mean,layer7_relative_improvement_over_zero_std,layer7_relative_improvement_over_zero_worst_decile,layer7_relative_improvement_over_zero_worst_sample,layers1_to_7_relative_improvement_over_zero_mean,layers1_to_7_relative_improvement_over_zero_std,layers1_to_7_relative_improvement_over_zero_worst_decile,layers1_to_7_relative_improvement_over_zero_worst_sample,layers6_to_7_relative_improvement_over_zero_mean,layers6_to_7_relative_improvement_over_zero_std,layers6_to_7_relative_improvement_over_zero_worst_decile,layers6_to_7_relative_improvement_over_zero_worst_sample,maximum_equalizer_gain_mean,maximum_equalizer_gain_std,maximum_equalizer_gain_worst_decile,maximum_equalizer_gain_worst_sample,pilot_evm_mean,pilot_evm_std,pilot_evm_worst_decile,pilot_evm_worst_sample,post_equalization_sinr_db_mean,post_equalization_sinr_db_std,post_equalization_sinr_db_worst_decile,post_equalization_sinr_db_worst_sample,realization_count,snr_db
0.34262710344046354,0.05822718582709564,0.28971853759139776,0.17733267322182655,0.8560281207319349,0.039707117518305614,0.8898413814604282,0.9618870317935944,0.8527405583299696,0.03728657824971631,0.8877183757722378,0.9495558813214302,0.3426024032232817,0.058233575445953506,0.2896801782771945,0.1772796493023634,0.1593091086979257,0.033373650131964985,0.11874051240738481,0.0739397022407502,1.5945888797286898,0.24775536304083684,1.8022405616939068,2.2611518874764442,0.1439718792680651,0.039707117518305614,0.11015861853957176,0.03811296820640564,0.06783550046384335,0.052760717667892275,0.12369540706276894,0.22215032577514648,same_speaker_unseen_utterance_unseen_channel,-15.0,0.04576006904244423,0.04475745759823018,-0.0008882880210876465,-0.011230945587158203,0.09570902905293874,0.036507143499910036,0.04469466209411621,0.021914712020329068,0.057089611887931824,0.030153523959952223,0.025221049785614014,0.015458464622497559,8.672044679522514,7.479798097264855,16.716426372528076,30.51177406311035,1.066807396709919,0.3223850319440399,1.3384068608283997,2.062631368637085,-5.9782307632267475,3.4430312882536587,-10.711755752563477,-11.113487243652344,16,0.0
0.34252765076234937,0.03851539612870551,0.28614070266485214,0.2666623303666711,0.8558257297845557,0.029731513300554447,0.8953663967549801,0.9112654104828835,0.8529701352817938,0.02986762255642386,0.8911370281130075,0.9085310623049736,0.34251390292774886,0.038520352540751424,0.2861074237152934,0.2666806261986494,0.14737271306512412,0.029362781372119152,0.12153833312913775,0.08210372156463563,1.5203499314375222,0.3313445460406914,1.8708404507488012,2.0334867984056473,0.14417427021544427,0.029731513300554447,0.10463360324501991,0.08873458951711655,0.07060211163479835,0.05260884582208913,0.09801159799098969,0.24861027300357819,seen_utterance_unseen_channel,-15.0,0.07184286788105965,0.048279282136195326,0.018747806549072266,0.011919260025024414,0.0909608421581132,0.023715868061102312,0.06344736048153468,0.04156860283442906,0.06915935315191746,0.026559224793323472,0.042327627539634705,0.021541714668273926,12.038761392235756,14.052949388945123,32.718626976013184,50.02997970581055,1.1428054235875607,0.2406246535202222,1.3626474738121033,1.7149012088775635,-5.976321801543236,3.600363778964401,-12.142320156097412,-13.015093803405762,16,0.0
0.312270217895275,0.038098009400443264,0.27344043483026326,0.2653475720435381,0.873805615818128,0.027785106735022835,0.9000825993716717,0.9011465460062027,0.8713980920147151,0.027264013178001548,0.897153228521347,0.8976507410407066,0.3122584338125307,0.038093830625215604,0.2734087717253715,0.26535580214112997,0.13621023698942736,0.024385517284876097,0.11030294350348413,0.10680265328846872,1.700577467912808,0.17600053326459517,1.9421013500541449,2.0437159091234207,0.126194384181872,0.027785106735022835,0.09991740062832832,0.0988534539937973,0.07320156914647669,0.04304965665081678,0.13580625504255295,0.1508587896823883,unseen_speaker_unseen_utterance_unseen_channel,-15.0,0.0432562530040741,0.0246649223698598,0.015974879264831543,-0.0005990266799926758,0.07764648858989988,0.024644942945711394,0.048775085381099155,0.04222100121634347,0.04140837490558624,0.019692457794373033,0.025357216596603394,0.01685720682144165,16.07098464667797,20.752529095059714,32.817039489746094,87.78163146972656,1.106794334948063,0.26807924589241877,1.439553439617157,1.6323378086090088,-6.328317940235138,2.869016032122027,-10.520973682403564,-11.09871768951416,16,0.0
0.3339519241126254,0.03687840804038098,0.283024619333446,0.2708169315010309,0.8568423672113568,0.022175096414197078,0.8895670734345913,0.892530269920826,0.8533474646974355,0.022449150200634888,0.8851353153586388,0.8908184468746185,0.33393376582534984,0.036888594934248134,0.2829653453081846,0.27084291260689497,0.15503099269699305,0.02415484701644442,0.12884434033185244,0.11248021153733134,1.5019748006016016,0.20213468100870027,1.7282043471932411,1.7743017077445984,0.14315763278864324,0.022175096414197078,0.1104329265654087,0.10746973007917404,0.07394219236448407,0.039897735246552934,0.12886756286025047,0.17528055608272552,same_speaker_unseen_utterance_unseen_channel,-12.5,0.04330915957689285,0.03272369986042168,0.0010259151458740234,-0.019469380378723145,0.08586309318031583,0.024151175562828173,0.056482059614998956,0.053668158394949775,0.04845423437654972,0.03272028187863811,0.011613905429840088,-0.025990307331085205,11.081521794199944,6.781364407658137,16.51722288131714,30.088268280029297,1.1469952054321766,0.2641245844900561,1.522186279296875,1.5507158041000366,-6.9289358258247375,2.6973167478071205,-10.126547813415527,-10.703917503356934,16,0.0
0.3373894037795253,0.04915708513482037,0.2874337984248996,0.2859619464725256,0.8529175489675254,0.039098893607109726,0.8888697903603315,0.8935723826289177,0.8499282255070284,0.039274855413259126,0.8853668663650751,0.8897171840071678,0.33738360163988546,0.04915592381716934,0.2874265918508172,0.2859462108463049,0.1533578966773348,0.035029137266256914,0.11435934551991522,0.10882503911852837,1.4140962597448379,0.32281613269915976,1.7062536999583244,1.8763464018702507,0.14708245103247464,0.039098893607109726,0.11113020963966846,0.1064276173710823,0.07497799186967313,0.04107163563802178,0.12191493809223175,0.18272334337234497,seen_utterance_unseen_channel,-12.5,0.08441760018467903,0.0792678040562334,0.02117776870727539,0.008842766284942627,0.08283501224858421,0.034763596643965146,0.05379455004419599,0.0522533655166626,0.06974185071885586,0.04694617349027621,0.020421147346496582,0.014031767845153809,8.35858128964901,9.009868328881803,14.412534713745117,40.399559020996094,1.109330926090479,0.20924566137215353,1.3376907706260681,1.4752111434936523,-5.609982870519161,3.2254955546228996,-9.129768371582031,-14.430734634399414,16,0.0
0.3155194023856893,0.03439917817921991,0.28090183436870575,0.2619336675852537,0.8727292097173631,0.023554153814804774,0.8946780823171139,0.912367433309555,0.8702460681088269,0.02295376713541973,0.8905275799334049,0.9096650555729866,0.3155102169548627,0.03439186092137458,0.2808806444518268,0.26193663012236357,0.13989230219158344,0.02527573690010252,0.11368276632856578,0.10928408335894346,1.6944573787041008,0.1713703269849426,1.93472171574831,1.9828533381223679,0.12727079028263688,0.023554153814804774,0.10532191768288612,0.08763256669044495,0.055942977545782924,0.03552893670690661,0.08293982222676277,0.17358052730560303,unseen_speaker_unseen_utterance_unseen_channel,-12.5,0.037770044058561325,0.024875602525117658,0.00703120231628418,0.002499997615814209,0.07804199893559728,0.02344995141866035,0.050660976341792514,0.04590862137930734,0.03823207505047321,0.02054030248733124,0.009708106517791748,0.0028922855854034424,8.51067304611206,5.565457920096497,15.153881549835205,22.453990936279297,1.1080390587449074,0.2007891366480374,1.3073517680168152,1.4614155292510986,-6.412819283083081,2.94170395858978,-9.971378326416016,-10.763949394226074,16,0.0
0.34997132113494445,0.0362634944007846,0.2952854192117229,0.27313504461199045,0.8461818171199411,0.023502609819545852,0.8822363521903753,0.8965988084673882,0.8436889012809843,0.02308033046983279,0.879105307161808,0.8954296037554741,0.34995514478941914,0.03627405428960533,0.2952642630552873,0.2730450043454766,0.16650682414183393,0.022077964125461366,0.14250992727465928,0.11324837943539023,1.4497106748167425,0.1743049686803214,1.663027036935091,1.699566014111042,0.15381818288005888,0.023502609819545852,0.11776364780962467,0.10340119153261185,0.07082739379256964,0.047580083333717674,0.1353013962507248,0.16619060933589935,same_speaker_unseen_utterance_unseen_channel,-10.0,0.06051689758896828,0.041323343504475245,0.01459360122680664,0.004180967807769775,0.09371245971747807,0.022824650762259854,0.05289260404450553,0.05039254256657192,0.055332621559500694,0.032013999566015715,0.017780140042304993,0.010419875383377075,9.116914048790932,6.7333490294611416,18.84276247024536,23.36979103088379,1.032548550516367,0.2628604198138334,1.3761220574378967,1.5759310722351074,-5.682598654180765,3.1736278385773846,-10.496737003326416,-11.502908706665039,16,0.0
0.3403578221987118,0.0705983268252357,0.24516556592425331,0.20694669825024903,0.8548504977952689,0.050145566552736984,0.9133462347090244,0.9466744288802147,0.8517385860905051,0.04894111256249243,0.9097961634397507,0.9401421621441841,0.34033747652574675,0.07060066126343723,0.2451693659531884,0.20688770688138902,0.15298483808874153,0.04127299219366563,0.09841834951657802,0.08039979031309485,1.5423609474673867,0.37001607820949317,1.9666590467095375,2.0844933912158012,0.1451495022047311,0.050145566552736984,0.08665376529097557,0.05332557111978531,0.09461990441195667,0.11557196816788315,0.2099977731704712,0.48049619793891907,seen_utterance_unseen_channel,-10.0,0.06793295219540596,0.07057542243173767,0.0064871907234191895,-0.006726980209350586,0.09381605205791338,0.04522881452448646,0.03081346409661429,0.029361673763820102,0.062289655208587646,0.042863367310414985,0.02525182068347931,0.009956330060958862,7.893497213721275,4.581961216179082,14.583774089813232,15.121871948242188,1.1969290897250175,0.4259975124109516,1.8435841798782349,2.225942850112915,-5.776310011744499,3.1640858663846214,-9.086819648742676,-11.755416870117188,16,0.0
0.33686160494107753,0.04183418579212273,0.2983451480977237,0.2323746345937252,0.8606623418163508,0.02595134847958745,0.8861975073814392,0.9181019365787506,0.8588723239954561,0.025251109548482226,0.8830447643995285,0.9154810011386871,0.33685288368724287,0.04182923782718064,0.2983625251799822,0.23237027507275343,0.15216178217087872,0.023427560817561154,0.1291334351990372,0.09217211161740124,1.652844114927575,0.09472609633948542,1.7728739902377129,1.820696149021387,0.13933765818364918,0.02595134847958745,0.11380249261856079,0.08189806342124939,0.049592622206546366,0.020710115395486315,0.07490766048431396,0.0973295196890831,unseen_speaker_unseen_utterance_unseen_channel,-10.0,0.0554681271314621,0.031167662345877915,0.01679128408432007,0.003643214702606201,0.08850016125610896,0.026570015802432886,0.0649116507598332,0.03063863515853882,0.05596168525516987,0.022088443228592144,0.03152333199977875,0.005765259265899658,7.9425555020570755,8.08409120619002,14.703470230102539,35.98786544799805,1.024946253746748,0.36526047696913094,1.242484986782074,2.26743483543396,-5.289486289024353,3.4760181828555092,-11.198299407958984,-12.711736679077148,16,0.0
0.31911022338681505,0.06158562061937627,0.2304663529212121,0.19562272913753986,0.8659103065729141,0.03944241830548648,0.9182925093919039,0.9277872256934643,0.8619392963591963,0.03716079346001374,0.9105382543057203,0.9134613983333111,0.3190909009499592,0.061590024191715415,0.2304654536419548,0.19559322902932763,0.14489930531999562,0.0338294573977812,0.10435462230816483,0.09835232910700142,1.5805303137749434,0.2511058569689519,1.8520193975418806,2.1588532887399197,0.13408969342708588,0.03944241830548648,0.08170749060809612,0.07221277430653572,0.11690547480247915,0.14540659757113855,0.18641458451747894,0.6429705023765564,same_speaker_unseen_utterance_unseen_channel,-7.5,0.052021268755197525,0.03840010662356501,0.017996519804000854,-0.019123077392578125,0.0821093198444162,0.043184251446551025,0.024080476590565274,0.002949314458029611,0.046488549560308456,0.02659259096212339,0.013436660170555115,-0.004452645778656006,19.68398904800415,18.261165312346122,41.5645751953125,67.37227630615234,1.3163142465054989,0.5026403877672003,1.9995468854904175,2.5195858478546143,-8.283561158925295,4.151620725946312,-14.47798204421997,-15.588894844055176,16,0.0
