architecture,cosine_similarity,finite,group,layer,normalized_mse,optimal_scalar_rescaled_normalized_loss,pearson_correlation,power_ratio,raw_mse,reconstruction_mean,reconstruction_power,reconstruction_std,relative_improvement_over_zero,subset,target_power,zero_normalized_mse
per_layer_pca_480,0.8256834372878075,True,same_speaker_unseen_utterance_unseen_channel,0,0.317116666585207,0.3156832754611969,0.8256786167621613,0.6833722218871117,3.957012712955475,0.03923395648598671,8.583950698375702,2.929575204849243,0.682883333414793,subset_full,12.534753203392029,1.0
per_layer_pca_480,0.5547373741865158,True,same_speaker_unseen_utterance_unseen_channel,1,0.6840856447815895,0.6737167239189148,0.5547013804316521,0.31708728708326817,1.4712058156728745,0.0006570108816958964,0.7148879021406174,0.8455101847648621,0.3159143552184105,subset_full,2.1837127953767776,1.0
per_layer_pca_480,0.4848281592130661,True,same_speaker_unseen_utterance_unseen_channel,2,0.7622903063893318,0.7620258331298828,0.4847767800092697,0.2383463755249977,1.0151608884334564,0.0037757668178528547,0.31791575625538826,0.5638275742530823,0.23770969361066818,subset_full,1.3321861624717712,1.0
per_layer_pca_480,0.40776992216706276,True,same_speaker_unseen_utterance_unseen_channel,3,0.8326165080070496,0.8325517177581787,0.40770867466926575,0.1687971968203783,0.8568946123123169,-0.00010754972754511982,0.17374990321695805,0.41683319211006165,0.16738349199295044,subset_full,1.0292354598641396,1.0
per_layer_pca_480,0.3778926618397236,True,same_speaker_unseen_utterance_unseen_channel,4,0.8566567152738571,0.8568926453590393,0.37779778242111206,0.14464653097093105,0.6935806795954704,0.0009223212255164981,0.11687494162470102,0.34186851978302,0.14334328472614288,subset_full,0.8094110637903214,1.0
per_layer_pca_480,0.34509145095944405,True,same_speaker_unseen_utterance_unseen_channel,5,0.8806911706924438,0.8809612989425659,0.3450593091547489,0.12070911563932896,0.5963320061564445,-0.0007089185528457165,0.08151301089674234,0.28550395369529724,0.11930882930755615,subset_full,0.676907554268837,1.0
per_layer_pca_480,0.3427290990948677,True,same_speaker_unseen_utterance_unseen_channel,6,0.8821965381503105,0.8821049332618713,0.3426997773349285,0.11888199858367443,0.5083538591861725,-0.0004552006139419973,0.06855257507413626,0.2618250846862793,0.11780346184968948,subset_full,0.5762948170304298,1.0
per_layer_pca_480,0.3155847601592541,True,same_speaker_unseen_utterance_unseen_channel,7,0.9001667127013206,0.9004421234130859,0.3155633546411991,0.10184567514806986,0.4536530189216137,0.00033083147718571126,0.05114900553599,0.22616122663021088,0.09983328729867935,subset_full,0.5038060806691647,1.0
per_layer_pca_480,0.9152338653802872,True,seen_utterance_unseen_channel,0,0.1621195450425148,0.16143132746219635,0.9152191206812859,0.8372169584035873,1.9865194112062454,0.03197648376226425,10.311771869659424,3.2110354900360107,0.8378804549574852,subset_full,12.305654048919678,1.0
per_layer_pca_480,0.7652462869882584,True,seen_utterance_unseen_channel,1,0.41017094999551773,0.3915940523147583,0.7652381658554077,0.5897619687020779,0.8002563044428825,-0.0030822567641735077,1.2428897693753242,1.1148453950881958,0.5898290500044823,subset_full,2.0435864329338074,1.0
