architecture,subset,group,loss,correlation,power_ratio,passed
per_layer_pca_480,full,same_speaker_unseen_utterance_unseen_channel,0.7644775328226388,0.4567482094280422,0.23671080020722002,True
per_layer_pca_480,full,seen_utterance_unseen_channel,0.42557711666449904,0.7527301991358399,0.5743838092312217,True
per_layer_pca_480,full,unseen_speaker_unseen_utterance_unseen_channel,0.7895533288829029,0.4339592349715531,0.2117460265289992,True
normalized_flat_mlp,16,same_speaker_unseen_utterance_unseen_channel,0.9857589630410075,0.07244146594530321,0.049693214969011024,False
normalized_flat_mlp,16,seen_utterance_unseen_channel,0.9564091935753822,0.16698144178371876,0.05142094031907618,False
normalized_flat_mlp,16,unseen_speaker_unseen_utterance_unseen_channel,0.9835695922374725,0.07111159621626939,0.048085975635331124,False
conv_conformer_v1,16,same_speaker_unseen_utterance_unseen_channel,0.9163512447848916,0.2799732378916815,0.16663330612936988,False
conv_conformer_v1,16,seen_utterance_unseen_channel,0.821771658025682,0.40682978881523013,0.16817455179989338,False
conv_conformer_v1,16,unseen_speaker_unseen_utterance_unseen_channel,0.9278650358319283,0.26179933978710324,0.15007577266078442,False
conv_conformer_v1,64,same_speaker_unseen_utterance_unseen_channel,0.7571247699670494,0.4760809941217303,0.27307805651798844,False
conv_conformer_v1,64,seen_utterance_unseen_channel,0.7184284788090736,0.5182868214324117,0.27057803072966635,False
conv_conformer_v1,64,unseen_speaker_unseen_utterance_unseen_channel,0.7818588595837355,0.45439206482842565,0.254128796630539,False
conv_conformer_v1,256,same_speaker_unseen_utterance_unseen_channel,0.6842134320177138,0.5415500188246369,0.34310711454600096,True
conv_conformer_v1,256,seen_utterance_unseen_channel,0.6541609175037593,0.5723212128505111,0.3425247760023922,True
conv_conformer_v1,256,unseen_speaker_unseen_utterance_unseen_channel,0.7158351819962263,0.5144199151545763,0.31889097613748163,True
conv_conformer_v1,full,same_speaker_unseen_utterance_unseen_channel,0.4727996119763702,0.7186790006235242,0.5384478508494794,True
conv_conformer_v1,full,seen_utterance_unseen_channel,0.43386584520339966,0.7471293667331338,0.5460757543332875,True
conv_conformer_v1,full,unseen_speaker_unseen_utterance_unseen_channel,0.5084771665278822,0.6937719648703933,0.5051681441254914,True
