frame,summed_nmse
0,0.29816457629203796
1,0.34265294671058655
2,0.21319177746772766
3,0.28333842754364014
4,0.22054903209209442
5,0.24108611047267914
6,0.29164111614227295
7,0.20909875631332397
8,0.2764842212200165
9,0.22743681073188782
10,0.2392338216304779
11,0.2791231870651245
12,0.21050067245960236
13,0.29011455178260803
14,0.23497773706912994
15,0.23828737437725067
16,0.2728182077407837
17,0.21082951128482819
18,0.28672245144844055
19,0.23099279403686523
20,0.2380923628807068
21,0.28826048970222473
22,0.2143881767988205
23,0.3020246922969818
24,0.23424595594406128
25,0.2347918450832367
26,0.2846209704875946
27,0.20767280459403992
28,0.2861778140068054
29,0.23071546852588654
30,0.22917936742305756
31,0.28151124715805054
32,0.2164030820131302
33,0.28822728991508484
34,0.22985029220581055
35,0.24258749186992645
36,0.32428592443466187
37,0.21502242982387543
38,0.2891443967819214
39,0.2387324422597885
40,0.2386874407529831
41,0.2950173318386078
42,0.2792528569698334
43,0.4973059892654419
44,0.3030461370944977
45,0.26261964440345764
46,0.30222412943840027
47,0.22033275663852692
48,0.32426851987838745
49,0.288597971200943
