frame,summed_nmse
0,0.08351404219865799
1,0.07726515084505081
2,0.06952611356973648
3,0.06535299867391586
4,0.06450387835502625
5,0.07128805667161942
6,0.07971607893705368
7,0.06958074122667313
8,0.06845781207084656
9,0.07073870301246643
10,0.07484860718250275
11,0.06887397915124893
12,0.07453678548336029
13,0.07555846869945526
14,0.07205673307180405
15,0.07057078182697296
16,0.06532517820596695
17,0.06717348098754883
18,0.07013450562953949
19,0.06963411718606949
20,0.06972267478704453
21,0.06936477869749069
22,0.0701596736907959
23,0.07332813739776611
24,0.07589182257652283
25,0.0746854618191719
26,0.06986054033041
27,0.07239591330289841
28,0.07190776616334915
29,0.0726986899971962
30,0.06650470942258835
31,0.06583211570978165
32,0.06908992677927017
33,0.06463820487260818
34,0.06726647168397903
35,0.07711521536111832
36,0.09313686192035675
37,0.07767972350120544
38,0.07306715846061707
39,0.07051867246627808
40,0.06872664391994476
41,0.07489987462759018
42,0.13064640760421753
43,0.3274258077144623
44,0.13480785489082336
45,0.09715110063552856
46,0.07517705857753754
47,0.07360248267650604
48,0.07763718068599701
49,0.0808020681142807
