delta_pesq,delta_si_sdr_db,delta_speaker_similarity,delta_stoi,delta_visqol,delta_waveform_snr_db,latent_loss,layer7_loss,mode,multi_resolution_stft_distance,output_dc_mean,output_peak,output_rms,pesq,si_sdr_db,speaker_similarity,stft_l1,stft_ratio,stoi,stoi_available,stoi_error,summed_cosine_similarity,summed_normalized_mse,summed_pearson_correlation,summed_power_ratio,summed_raw_mse,utterance_id,visqol,waveform_correlation,waveform_snr_db
,,,,,,,,clean_codec,0.0789291188120842,-0.00013160966045688838,0.4186764061450958,0.049166519194841385,,-3.1040053367614746,,0.07527438551187515,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,,0.5731979608535767,1.0700792074203491
,-11.241221904754639,,,,-1.2768696397542953,0.6939616166055202,0.8483705520629883,experiment_a_best_latent,0.15968921780586243,-0.0001157806400442496,0.24924588203430176,0.02599579282104969,,-14.345227241516113,,0.15460197627544403,2.053845743464147,,False,pystoi is not installed,0.7686946392059326,0.4095774292945862,0.7686220407485962,0.55806964635849,7.899280071258545,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,,0.1883205622434616,-0.20679043233394623
,-11.063276767730713,,,,-1.2158104181289673,0.6961509510874748,0.852165699005127,experiment_a_best_waveform,0.15980282425880432,-0.00012656209582928568,0.2622089385986328,0.02491072379052639,,-14.167282104492188,,0.1548181176185608,2.0567171231724894,,False,pystoi is not installed,0.7649295926094055,0.4161246120929718,0.7648555636405945,0.5324427485466003,8.025551795959473,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,,0.19207602739334106,-0.14573121070861816
,-28.347044467926025,,,,-2.0773030519485474,1.0730537921190262,1.143102765083313,experiment_b_best_waveform,0.1992368996143341,8.601508307037875e-05,0.19661341607570648,0.026336774230003357,,-31.4510498046875,,0.18678128719329834,2.481339248712061,,False,pystoi is not installed,0.13162000477313995,1.0368701219558716,0.13160744309425354,0.13279904425144196,19.997507095336914,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,,-0.026748038828372955,-1.0072238445281982
,-23.81692361831665,,,,-1.2323255240917206,1.0269667953252792,1.0870318412780762,experiment_c_best_waveform,0.19656109809875488,-6.748802115907893e-05,0.11889693886041641,0.01332378014922142,,-26.920928955078125,,0.18564145267009735,2.4661968531222467,,False,pystoi is not installed,0.3535541594028473,0.875590980052948,0.35345688462257385,0.14278969168663025,16.88701057434082,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,,0.045031093060970306,-0.16224631667137146
,,,,,,,,clean_codec,0.0743856281042099,-0.0003110613615717739,0.4085855782032013,0.081292524933815,,7.409512519836426,,0.07010137289762497,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,,0.9199620485305786,7.990209579467773
,-22.80384922027588,,,,-8.050911974161863,0.6865906454622746,0.8424475193023682,experiment_a_best_latent,0.1896151751279831,-0.00024172010307665914,0.30218058824539185,0.030562439933419228,,-15.394336700439453,,0.18219996988773346,2.5990927474960532,,False,pystoi is not installed,0.7285535335540771,0.4709569811820984,0.7283039093017578,0.47163066267967224,10.697134971618652,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,,0.16753332316875458,-0.06070239469408989
,-22.504159927368164,,,,-7.989049007650465,0.6888606734573841,0.8444334268569946,experiment_a_best_waveform,0.1914767324924469,-0.00026363160577602684,0.2717473804950714,0.028342342004179955,,-15.094647407531738,,0.18383096158504486,2.622358935159643,,False,pystoi is not installed,0.723761260509491,0.47742751240730286,0.7235156297683716,0.47374996542930603,10.844103813171387,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,,0.1732410043478012,0.0011605718173086643
,-36.17040538787842,,,,-8.395609438419342,1.0798400938510895,1.1397069692611694,experiment_b_best_waveform,0.23777346312999725,1.0317921805835795e-05,0.26920661330223083,0.028796544298529625,,-28.760892868041992,,0.2272743582725525,3.2420814155018145,,False,pystoi is not installed,0.07841979712247849,1.066501259803772,0.07816120237112045,0.12107480317354202,24.224096298217773,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,,0.036447398364543915,-0.4053998589515686
,-33.824233055114746,,,,-7.985703617334366,1.031075194478035,1.067610740661621,experiment_c_best_waveform,0.23396143317222595,-7.43350901757367e-05,0.048194125294685364,0.00681258225813508,,-26.41472053527832,,0.22460106015205383,3.2039466684918994,,False,pystoi is not installed,0.2688099443912506,0.9277411103248596,0.26902517676353455,0.0721830278635025,21.07235336303711,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,,0.04772736877202988,0.004505962133407593
,,,,,,,,clean_codec,0.13080348074436188,-9.28986119106412e-05,0.4893559217453003,0.06382100284099579,,-0.9442669153213501,,0.12594273686408997,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61943/6241-61943-0026.flac,,0.667725145816803,1.9172885417938232
,-41.0212367773056,,,,-2.7045571208000183,0.7155839167535305,0.8805404901504517,experiment_a_best_latent,0.22116956114768982,-0.00012028575292788446,0.322540283203125,0.028932522982358932,,-41.96550369262695,,0.21435818076133728,1.7020289228164074,,False,pystoi is not installed,0.7677960395812988,0.4119146168231964,0.7677991986274719,0.5329588055610657,8.909998893737793,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61943/6241-61943-0026.flac,,-0.00797459576278925,-0.7872685790061951
,-34.0604327917099,,,,-2.6197097301483154,0.7193798720836639,0.8835721015930176,experiment_a_best_waveform,0.22401145100593567,-0.00011964295117650181,0.3014111816883087,0.02653365582227707,,-35.00469970703125,,0.21709460020065308,1.7237564118916113,,False,pystoi is not installed,0.7618608474731445,0.42111068964004517,0.7618679404258728,0.5221295356750488,9.108916282653809,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61943/6241-61943-0026.flac,,-0.017770351842045784,-0.7024211883544922
,-23.596804022789,,,,-2.2301619052886963,1.0527764409780502,1.0856173038482666,experiment_b_best_waveform,0.2908530831336975,-6.593063972104574e-06,0.17997772991657257,0.014566153287887573,,-24.54107093811035,,0.27888208627700806,2.214356248093618,,False,pystoi is not installed,0.06351729482412338,1.050230622291565,0.06353071331977844,0.087892085313797,22.71721649169922,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61943/6241-61943-0026.flac,,-0.05918130278587341,-0.31287336349487305
,-30.105566382408142,,,,-1.9545732736587524,1.0311852395534515,1.0755800008773804,experiment_c_best_waveform,0.2868892550468445,-7.352777902269736e-05,0.08980679512023926,0.008259338326752186,,-31.049833297729492,,0.27476775646209717,2.1816879901427777,,False,pystoi is not installed,0.2868935763835907,0.923534631729126,0.286898136138916,0.1320088505744934,19.976694107055664,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61943/6241-61943-0026.flac,,0.028011448681354523,-0.0372847318649292
,,,,,,,,clean_codec,0.12905223667621613,-0.0002514692023396492,0.4967464208602905,0.10601100325584412,,2.5081710815429688,,0.1248461976647377,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6295/244435/6295-244435-0025.flac,,0.8003113865852356,3.971006393432617
,-12.538594245910645,,,,-3.6982164680957794,0.6930490136146545,0.8293564319610596,experiment_a_best_latent,0.2783071994781494,-2.240693720523268e-05,0.28407561779022217,0.04988260194659233,,-10.030423164367676,,0.27091115713119507,2.1699592154075895,,False,pystoi is not installed,0.7429381608963013,0.45050349831581116,0.7430585622787476,0.4807110130786896,10.959278106689453,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6295/244435/6295-244435-0025.flac,,0.30055251717567444,0.27278992533683777
,-12.375218391418457,,,,-3.6168863773345947,0.6960269846022129,0.8331155180931091,experiment_a_best_waveform,0.2827097177505493,-3.391617792658508e-05,0.2634187638759613,0.045310165733098984,,-9.867047309875488,,0.27650880813598633,2.214795590960037,,False,pystoi is not installed,0.7409117221832275,0.4538915157318115,0.7410553097724915,0.472799152135849,11.04169750213623,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6295/244435/6295-244435-0025.flac,,0.3057303726673126,0.35412001609802246
,-32.27484130859375,,,,-4.3699614107608795,1.0849385857582092,1.1448025703430176,experiment_b_best_waveform,0.33891141414642334,3.619748531491496e-05,0.2702227830886841,0.03637881949543953,,-29.76667022705078,,0.33089491724967957,2.6504204648528074,,False,pystoi is not installed,0.07595351338386536,1.0691578388214111,0.07587385922670364,0.12227703630924225,26.009117126464844,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6295/244435/6295-244435-0025.flac,,0.03246665000915527,-0.39895501732826233
