frame,summed_nmse
0,0.03176888823509216
1,0.02477692812681198
2,0.020692935213446617
3,0.019918816164135933
4,0.018929006531834602
5,0.0173544529825449
6,0.026838846504688263
7,0.021027954295277596
8,0.023984381929039955
9,0.025363313034176826
10,0.02856983058154583
11,0.024236995726823807
12,0.023480810225009918
13,0.026739783585071564
14,0.020635707303881645
15,0.0224468857049942
16,0.016667747870087624
17,0.018014298751950264
18,0.01750226877629757
19,0.017410211265087128
20,0.018384119495749474
21,0.019152581691741943
22,0.02260640077292919
23,0.028746381402015686
24,0.030473889783024788
25,0.03017602674663067
26,0.02367161586880684
27,0.022790178656578064
28,0.01900654286146164
29,0.019321894273161888
30,0.016135720536112785
31,0.015746423974633217
32,0.016753999516367912
33,0.015489798039197922
34,0.018010731786489487
35,0.021253691986203194
36,0.035702940076589584
37,0.020186148583889008
38,0.01869068294763565
39,0.018506145104765892
40,0.01919453591108322
41,0.0239182747900486
42,0.08227008581161499
43,0.2628227174282074
44,0.058675121515989304
45,0.03492587059736252
46,0.024518471211194992
47,0.021420935168862343
48,0.022019965574145317
49,0.02155817113816738
