cosine_similarity,epoch,finite,group,layer,normalized_mse,optimal_scalar_rescaled_normalized_loss,pearson_correlation,power_ratio,raw_mse,reconstruction_mean,reconstruction_power,reconstruction_std,relative_improvement_over_zero,subset_size,target_power,zero_normalized_mse
-0.004145455721300095,1,True,same_speaker_unseen_utterance_unseen_channel,0,1.0017086863517761,0.999982476234436,-0.004106939522898756,0.0013965556863695383,12.556123971939087,-0.0007886018138378859,0.01745361532084644,0.13210977613925934,-0.001708686351776123,16,12.534753203392029,1.0
-0.00010910168930422515,1,True,same_speaker_unseen_utterance_unseen_channel,1,1.0082848370075226,0.9999998807907104,-0.00011946020094910637,0.008241210191044956,2.2012235522270203,-0.0003175585879944265,0.017499933019280434,0.132286936044693,-0.008284837007522583,16,2.1837127953767776,1.0
-0.00018938186985906214,1,True,same_speaker_unseen_utterance_unseen_channel,2,1.01316399872303,0.9999998807907104,-0.00019916956807719544,0.013077763956971467,1.3495773822069168,-6.88729778630659e-06,0.017304773558862507,0.13154760003089905,-0.01316399872303009,16,1.3321861624717712,1.0
0.00019529207020241302,1,True,same_speaker_unseen_utterance_unseen_channel,3,1.0170663744211197,1.0,0.00018808247739343642,0.017151720938272774,1.0466570109128952,-0.000446150079369545,0.01745392894372344,0.1321125626564026,-0.01706637442111969,16,1.0292354598641396,1.0
0.001822104153688997,1,True,same_speaker_unseen_utterance_unseen_channel,4,1.0210642665624619,0.9999977350234985,0.0018093188700731844,0.021592779317870736,0.8264408260583878,-0.0005708553362637758,0.017389992019161582,0.13186988234519958,-0.021064266562461853,16,0.8094110637903214,1.0
-0.0012475383482524194,1,True,same_speaker_unseen_utterance_unseen_channel,5,1.0261597335338593,0.9999985694885254,-0.0012389584553602617,0.02576607372611761,0.6946017667651176,-1.7407490304321982e-05,0.017421061638742685,0.13198886811733246,-0.026159733533859253,16,0.676907554268837,1.0
0.0008693955642229412,1,True,same_speaker_unseen_utterance_unseen_channel,6,1.0301320403814316,0.9999989867210388,0.0009033880451170262,0.030414565233513713,0.593607984483242,0.0010859997710213065,0.01751919195521623,0.13235563039779663,-0.03013204038143158,16,0.5762948170304298,1.0
0.0007856957827243605,1,True,same_speaker_unseen_utterance_unseen_channel,7,1.0342433452606201,0.9999992847442627,0.0007773778452246916,0.03452929574996233,0.5210384875535965,0.0001587950246175751,0.017392390873283148,0.13188011944293976,-0.03424334526062012,16,0.5038060806691647,1.0
-0.002161487549699359,1,True,seen_utterance_unseen_channel,0,1.0015374422073364,0.9999960660934448,-0.002118433142641152,0.0013828893570462242,12.324428081512451,-0.0006580066401511431,0.016950679011642933,0.13019311428070068,-0.0015374422073364258,16,12.305654048919678,1.0
3.3500709832878783e-06,1,True,seen_utterance_unseen_channel,1,1.0086512714624405,1.0,8.089660695986822e-06,0.008656614983920008,2.060514450073242,-8.13688529888168e-05,0.01698279520496726,0.1303180307149887,-0.00865127146244049,16,2.0435864329338074,1.0
0.001989327859973855,1,True,seen_utterance_unseen_channel,2,1.0121728628873825,0.9999954700469971,0.0019795704101852607,0.012624217197299004,1.388872317969799,-5.569761560764164e-05,0.016832679859362543,0.12974080443382263,-0.012172862887382507,16,1.3726950734853745,1.0
0.0009218120540026575,1,True,seen_utterance_unseen_channel,3,1.0175055116415024,0.9999987483024597,0.0009169530821964145,0.017737349728122354,1.0009740889072418,-4.087122215423733e-05,0.017027076450176537,0.1304878294467926,-0.01750551164150238,16,0.9842292293906212,1.0
-0.0006200133589118195,1,True,seen_utterance_unseen_channel,4,1.0219737738370895,0.9999994039535522,-0.0006153460531095334,0.021788727957755327,0.8111285120248795,-0.000419885094743222,0.01692800223827362,0.13010698556900024,-0.02197377383708954,16,0.7940265238285065,1.0
0.00011911381807294674,1,True,seen_utterance_unseen_channel,5,1.025179699063301,1.0,0.00012878855523013044,0.025217891903594136,0.7000056765973568,0.00011804448877228424,0.01688896829728037,0.12995751202106476,-0.025179699063301086,16,0.6831459142267704,1.0
0.002499287249520421,1,True,seen_utterance_unseen_channel,6,1.0294804871082306,0.9999929070472717,0.0024826603330438957,0.0304347132332623,0.5866535678505898,0.0010431691771373153,0.01702229806687683,0.13046535849571228,-0.02948048710823059,16,0.570157777518034,1.0
0.0006794222408643691,1,True,seen_utterance_unseen_channel,7,1.0342789143323898,0.999999463558197,0.0006742336572642671,0.034578932682052255,0.5118881948292255,-0.00012161878839833662,0.01691886899061501,0.1300724893808365,-0.03427891433238983,16,0.4951012209057808,1.0
-0.002148898522136733,1,True,unseen_speaker_unseen_utterance_unseen_channel,0,1.001562774181366,0.9999957084655762,-0.002081096507026814,0.001409340591635555,12.411602258682251,-0.0005749238189309835,0.017437079455703497,0.13204829394817352,-0.0015627741813659668,16,12.392269253730774,1.0
0.001697578583844006,1,True,unseen_speaker_unseen_utterance_unseen_channel,1,1.0074547976255417,0.9999971389770508,0.0017025549277605023,0.0077486803056672215,2.2763270139694214,-0.0003737302904482931,0.017475000233389437,0.13219252228736877,-0.007454797625541687,16,2.2595212757587433,1.0
0.0002845947092282586,1,True,unseen_speaker_unseen_utterance_unseen_channel,2,1.0113530158996582,1.0000001192092896,0.00028271437622606754,0.011386973084881902,1.5368557125329971,-6.595280137844384e-05,0.017272463883273304,0.13142472505569458,-0.011353015899658203,16,1.5196428149938583,1.0
