correlation,epoch,group,improvement_over_global_mean,improvement_over_layerwise_mean,improvement_over_zero,normalized_mse,optimizer_step,power_ratio,subset_size
-0.0002482950636846226,1,same_speaker_unseen_utterance_unseen_channel,0.011743465537960036,-0.018978278491247495,-0.01897791028022766,1.0189779102802277,4,0.01902124560001539,16
0.00043206456285815875,1,seen_utterance_unseen_channel,-0.11616359586291451,-0.01886044289054651,-0.018847495317459106,1.018847495317459,4,0.01905266713038145,16
-0.00019940668914841808,1,unseen_speaker_unseen_utterance_unseen_channel,0.006413157168142947,-0.01730427976922789,-0.017277400940656662,1.0172774009406567,4,0.01725007576897042,16
0.0003229116097145379,2,same_speaker_unseen_utterance_unseen_channel,0.011445402264488373,-0.019285607601344353,-0.019285239279270172,1.0192852392792702,8,0.0194401380031195,16
0.0011091955242790164,2,seen_utterance_unseen_channel,-0.11341659760791548,-0.01635291812528653,-0.016340002417564392,1.0163400024175644,8,0.016667286423398764,16
0.00028470669397506754,2,unseen_speaker_unseen_utterance_unseen_channel,0.006794271878002687,-0.016914067652168956,-0.016887199133634567,1.0168871991336346,8,0.01699260249733925,16
0.0009535002562870432,4,same_speaker_unseen_utterance_unseen_channel,0.010738442266932262,-0.020014544730673874,-0.02001417614519596,1.020014176145196,16,0.020267378638891387,16
0.003124925853796867,4,seen_utterance_unseen_channel,-0.11202111351592378,-0.015079087348791653,-0.01506618782877922,1.0150661878287792,16,0.015822251445570146,16
0.0007658366779423886,4,unseen_speaker_unseen_utterance_unseen_channel,0.006227344462850832,-0.017494527920854385,-0.017467644065618515,1.0174676440656185,16,0.017646093656367157,16
0.0018831881823189178,8,same_speaker_unseen_utterance_unseen_channel,0.011216267342386347,-0.01952186559744538,-0.019521497189998627,1.0195214971899986,32,0.019859282270772383,16
0.00752158088653232,8,seen_utterance_unseen_channel,-0.10915001060569461,-0.012458276928578215,-0.012445410713553429,1.0124454107135534,32,0.014060683342904667,16
0.0017911939777377484,8,unseen_speaker_unseen_utterance_unseen_channel,0.006582063420565557,-0.01713134163633196,-0.017104467377066612,1.0171044673770666,32,0.01739085626650194,16
0.0037147859086417157,16,same_speaker_unseen_utterance_unseen_channel,0.011864306028158,-0.018853681455579033,-0.01885331328958273,1.0188533132895827,64,0.019353109817529912,16
0.015399313160742167,16,seen_utterance_unseen_channel,-0.10603845760418855,-0.009617977996645277,-0.009605147875845432,1.0096051478758454,64,0.012621029324691335,16
0.003668062599217592,16,unseen_speaker_unseen_utterance_unseen_channel,0.007180172171018913,-0.016518955717583845,-0.01649209763854742,1.0164920976385474,64,0.016951433364738477,16
0.00820354705095383,32,same_speaker_unseen_utterance_unseen_channel,0.013364005293540582,-0.017307361322693705,-0.01730699371546507,1.017306993715465,128,0.01820604995737085,16
0.03817343560513109,32,seen_utterance_unseen_channel,-0.10152591712761717,-0.005498824670410368,-0.0054860468953847885,1.0054860468953848,128,0.01299876861867233,16
0.008376805090165362,32,unseen_speaker_unseen_utterance_unseen_channel,0.008749192148581796,-0.014912482413580709,-0.014885666780173779,1.0148856667801738,128,0.015744647902465658,16
0.022391630118363537,64,same_speaker_unseen_utterance_unseen_channel,0.016769127452437246,-0.013796384775077265,-0.013796018436551094,1.013796018436551,256,0.016104185133372084,16
0.12077639694325626,64,seen_utterance_unseen_channel,-0.08371873050228357,0.010755995070145215,0.010768566280603409,0.9892314337193966,256,0.016107358889712486,16
0.023254906904981,64,unseen_speaker_unseen_utterance_unseen_channel,0.011696494641295277,-0.011894826270846,-0.011868090368807316,1.0118680903688073,256,0.01415353547236009,16
0.0008823275511531392,1,same_speaker_unseen_utterance_unseen_channel,-0.03625216851362542,-0.018619203273118095,-0.018619494512677193,1.0186194945126772,16,0.018807853177349898,64
