comparison,delta_equalized_symbol_nmse,delta_post_eq_sinr_empirical_db,delta_si_sdr_db,delta_stft_ratio,delta_summed_latent_nmse,delta_waveform_snr_db,nominal_snr_db,realization,utterance_index
A_to_B,0.6550773084163666,-4.853451423346996,-4.153067350387573,0.12994341894037165,0.01817883551120758,-1.9720502495765686,5.0,0,0
A_to_B,1.1276030838489532,-6.724844694137573,-3.779559373855591,0.26876062713693427,0.05854043364524841,-1.1158808022737503,5.0,1,0
A_to_B,3.1340107321739197,-10.433125019073486,-3.6419664323329926,0.6418354405019155,0.057109370827674866,-2.172393798828125,5.0,0,1
A_to_B,0.5359842777252197,-4.3575791120529175,-1.907992660999298,0.41159005960187245,0.071823850274086,-0.9859664440155029,5.0,1,1
A_to_B,0.7573968470096588,-5.2688929438591,1.7586565613746643,0.09782962418116714,0.09850530326366425,0.9236578941345215,5.0,0,2
A_to_B,3.6399250626564026,-10.989448547363281,-8.253734707832336,0.39017071033885387,0.09404489398002625,-1.8281494081020355,5.0,1,2
A_to_B,1.4325088262557983,-7.309991836547852,0.23249948024749756,0.15179557246848363,0.06628331542015076,0.12273561954498291,5.0,0,3
A_to_B,2.3563486635684967,-9.312424659729004,-2.879347711801529,0.17789984859655927,0.037380024790763855,-1.387342929840088,5.0,1,3
A_to_B,147.4745169878006,-26.504895210266113,-7.995935916900635,0.3300325728564888,0.11687435209751129,0.1630845069885254,5.0,0,4
A_to_B,5.585991024971008,-12.589304447174072,-8.600513696670532,0.34593950881945323,0.060601770877838135,-2.231553792953491,5.0,1,4
A_to_B,0.5188719928264618,-4.175659477710724,0.7024545222520828,-0.026180975351161706,0.01206497848033905,0.4747457504272461,5.0,0,5
A_to_B,1.2247325479984283,-6.885332107543945,-2.7847970724105835,-0.0026563781240380724,0.034878507256507874,-1.0864659547805786,5.0,1,5
A_to_B,1.097090244293213,-6.609934091567993,0.7730460166931152,-0.05929347757579584,-0.005858421325683594,0.5898942947387695,5.0,0,6
A_to_B,5.670240223407745,-12.732229709625244,-2.416203737258911,0.18269389408800962,0.04384130239486694,-1.583397626876831,5.0,1,6
A_to_B,2.7490714490413666,-9.731928825378418,-3.132134437561035,0.37197291386974096,0.10629507899284363,-1.7342450618743896,5.0,0,7
A_to_B,0.8306178152561188,-5.52107846736908,-5.222468852996826,0.3908414315399722,0.15820927917957306,-2.675468683242798,5.0,1,7
A_to_B,0.6597576439380646,-4.986956089735031,-5.133406035602093,0.6120177857331146,0.05938674509525299,-3.4650776386260986,5.0,0,8
A_to_B,1.383882313966751,-7.250527858734131,-8.41614317893982,0.8139605066633935,0.09008896350860596,-4.475576996803284,5.0,1,8
A_to_B,-0.04917296767234802,0.7235584259033203,1.8872504830360413,-0.0500205867927479,-0.020536571741104126,1.2198512554168701,5.0,0,9
A_to_B,2.962665468454361,-10.229969024658203,-0.27067089080810547,0.07208569212584437,0.04614126682281494,-0.08102941513061523,5.0,1,9
A_to_B,0.045139849185943604,-0.5783414840698242,-0.3123447895050049,0.11062534224034604,0.007589206099510193,-0.20970582962036133,5.0,0,10
A_to_B,1.0486690700054169,-6.3509838581085205,-0.7239091843366623,0.3691928811117504,0.07836028933525085,-0.5208597183227539,5.0,1,10
A_to_B,0.41968217492103577,-3.612118721008301,-0.7197183966636658,0.1349805173768721,0.07534484565258026,-0.3902442455291748,5.0,0,11
A_to_B,0.5533733367919922,-4.396679162979126,-6.1901044845581055,0.4821654593412217,0.04403716325759888,-2.016031503677368,5.0,1,11
A_to_B,0.1899854838848114,-2.024824857711792,-2.0845980644226074,0.23248061846364232,0.027014553546905518,-1.4124207496643066,5.0,0,12
A_to_B,0.42687177658081055,-3.6342631578445435,-1.0290801525115967,0.17939430252414956,0.05354158580303192,-0.6127915382385254,5.0,1,12
A_to_B,0.22281166911125183,-2.3617608547210693,0.6521568298339844,0.0888717544474904,0.0648394376039505,0.6124953627586365,5.0,0,13
A_to_B,1.383217066526413,-7.242490530014038,4.633024215698242,0.4467580421983284,0.13952258229255676,1.2971795201301575,5.0,1,13
A_to_B,1.6326128542423248,-8.033828020095825,-4.10280179977417,0.30429806708257967,0.06074383854866028,-0.812650740146637,5.0,0,14
A_to_B,1.5424597561359406,-7.70945143699646,-2.2001686096191406,0.29360598201651134,0.15514743328094482,-0.32874661684036255,5.0,1,14
A_to_B,1.0231692790985107,-6.38654887676239,-3.067927062511444,0.6818362549028671,0.18805181980133057,-1.5683298110961914,5.0,0,15
A_to_B,1.7987119853496552,-8.340902328491211,-5.343963861465454,0.4688143417978543,0.07266288995742798,-3.270463705062866,5.0,1,15
A_to_B,1.7690235078334808,-8.307966470718384,-1.369257926940918,0.09502980889435331,0.08369819819927216,-0.8888063430786133,5.0,0,16
A_to_B,0.49072450399398804,-4.116991758346558,-1.4965019226074219,0.21031256115394048,0.041472747921943665,-0.9140634536743164,5.0,1,16
