layer,raw_mse,normalized_mse,target_power,reconstruction_power,power_ratio,cosine_similarity,pearson_correlation
0,5.896185398101807,0.45949944853782654,12.831757545471191,2.724670886993408,0.21233808994293213,0.816879391670227,0.8168013691902161
1,0.5501517653465271,0.22504191100597382,2.4446635246276855,1.441162109375,0.5895134806632996,0.8885618448257446,0.8885615468025208
2,0.2822858691215515,0.18528339266777039,1.5235357284545898,1.0848884582519531,0.712086021900177,0.9046626091003418,0.9046614766120911
3,0.18593230843544006,0.16257748007774353,1.1436535120010376,0.9019166231155396,0.7886275053024292,0.9155202507972717,0.9155133366584778
4,0.13780328631401062,0.15136753022670746,0.910388708114624,0.7650019526481628,0.8403025269508362,0.9212235808372498,0.9212219715118408
5,0.09857001155614853,0.13978153467178345,0.7051718831062317,0.6382341384887695,0.9050759673118591,0.9277791380882263,0.9277768135070801
6,0.09026483446359634,0.13947458565235138,0.6471776366233826,0.5884218215942383,0.9092122316360474,0.9279963374137878,0.9279972910881042
7,0.06630285084247589,0.12928465008735657,0.5128439664840698,0.4892977476119995,0.95408695936203,0.93409663438797,0.9340951442718506
