aggregate_layer_nmse,awgn_power,channel_estimation_nmse,channel_hash,condition,delta_si_sdr_db,delta_waveform_snr_db,equalized_symbol_correlation,equalized_symbol_nmse,h_power_below_0_01_fraction,h_power_below_0_1_fraction,h_power_p05,h_power_p10,mean_h_power,median_h_power,minimum_h_power,noise_hash,nominal_snr_db,oracle_empirical_minus_theory_db,per_layer_nmse,pilot_evm,pilot_mask_hash,post_eq_sinr_empirical_db,post_eq_sinr_empirical_linear,post_eq_sinr_oracle_theory_db,post_eq_sinr_oracle_theory_linear,realization,resource_mapping_hash,seed,si_sdr_db,stft_ratio,summed_latent_nmse,summed_latent_snr_db,transmit_symbol_power,transmitted_symbol_hash,utterance_id,utterance_index,waveform_snr_db
0.47724103927612305,0.32055237889289856,0.0,c5ae82d927023b8aaafe5bd8255756c4414e064524b1f3f311e6f3ac5e3f7973,multipath_oracle_csi,-2.500115156173706,-0.821078360080719,0.7080763578414917,0.9734855890274048,0.0,0.04583333432674408,0.23191756010055542,0.34555938839912415,1.3435604572296143,1.0534942150115967,0.010178671218454838,149a25a6eafa6f218899f33117e9991a73b90e0010177ec39e2e61e7762d7336,5.0,0.14060595631599426,"[0.17718316614627838,0.6033083200454712,0.5528318881988525,0.6644885540008545,0.41122743487358093,0.3660331070423126,0.6408965587615967,0.40195953845977783]",0.5009542107582092,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,0.11670476943254471,1.0272365808486938,-0.023901190608739853,0.9945116639137268,0,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,1883077054,-5.579602241516113,1.4931869522860977,0.24162670969963074,6.168550968170166,0.9999999403953552,dd207ea90c2e34e9fdd8e0cc7a35f67a13887d898ad8461bc88a2ad776853afc,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,0.25666874647140503
0.6052747368812561,0.3073570132255554,0.0,f72e1b9edac936b7a4688ee73855bb149f98400cab10080886c5bfbff76dd610,multipath_oracle_csi,-3.9251911640167236,-0.9448827058076859,0.6295574307441711,1.4320162534713745,0.0,0.125,0.055167991667985916,0.0963672399520874,0.7301909327507019,0.7780318260192871,0.017788076773285866,f65f8e43f5cf4a165052d6cc880385dcceee1204c16d81695a3c042540b1d308,5.0,0.20272934436798096,"[0.2134363055229187,0.3215947151184082,0.5080618858337402,0.9405272006988525,0.49576082825660706,0.8074482083320618,0.9535232782363892,0.601845383644104]",0.709479570388794,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,-1.5594794750213623,0.6983160972595215,-1.7622088193893433,0.6664677262306213,1,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,2034036466,-7.004678249359131,1.5277814566717682,0.27565038204193115,5.596414089202881,0.9999999403953552,dd207ea90c2e34e9fdd8e0cc7a35f67a13887d898ad8461bc88a2ad776853afc,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,0.13286440074443817
0.2851414978504181,0.10362151265144348,0.0,b372f7a44534e69c585bfd555d6834ef398cf6da26a67652d57bd1cc748928a7,multipath_oracle_csi,-0.5494081974029541,-0.16929036378860474,0.9479439854621887,0.11439883708953857,0.0,0.012500000186264515,0.24781370162963867,0.31918027997016907,2.063443183898926,1.909194827079773,0.09062780439853668,a72a718c2280cf6eb47f431f900ca1a366419ac7d436fac1c292b88ad6a03e87,10.0,-0.046011924743652344,"[0.17714999616146088,0.20605184137821198,0.24375399947166443,0.21302922070026398,0.3131093978881836,0.44673410058021545,0.28518953919410706,0.3961138427257538]",0.21315285563468933,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,9.415783882141113,8.741347312927246,9.461795806884766,8.834452629089355,0,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,1529617810,-3.6288952827453613,1.1988745751867278,0.15457133948802948,8.108710289001465,0.9999999403953552,dd207ea90c2e34e9fdd8e0cc7a35f67a13887d898ad8461bc88a2ad776853afc,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,0.9084567427635193
0.43836861848831177,0.10430201888084412,0.0,ec642456addbef85d13b64e75e223bb4651944b87cc19e52003d4e93e3c76f12,multipath_oracle_csi,-1.886523962020874,-0.2757589817047119,0.7738948464393616,0.6413365602493286,0.0,0.10833333432674408,0.032095618546009064,0.07589041441679001,0.6990999579429626,0.4894484877586365,0.01574505679309368,00120abc5ff88ed8144abcb83b0fd28afcfa7d4ad39cdf48ef735bb99a3e0c1b,10.0,-0.177634596824646,"[0.22105954587459564,0.8709881901741028,0.3283063471317291,0.17928269505500793,0.4531453847885132,0.564887523651123,0.5800908803939819,0.3091883063316345]",0.35874563455581665,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,1.9291402101516724,1.5592437982559204,2.1067748069763184,1.6243420839309692,1,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,1223476395,-4.966011047363281,1.4370052918662921,0.2626679241657257,5.805929183959961,0.9999999403953552,dd207ea90c2e34e9fdd8e0cc7a35f67a13887d898ad8461bc88a2ad776853afc,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,0.8019881248474121
0.3736688494682312,0.03068644553422928,0.0,f93daa99714f3a248ae13d05354060f1b9fa6eb9ac965f96148230f2e481cb4d,multipath_oracle_csi,-0.23241281509399414,0.13280212879180908,0.8518813252449036,0.37294843792915344,0.03333333507180214,0.27916666865348816,0.01912565343081951,0.02976609580218792,0.5744605660438538,0.4777667820453644,0.008193215355277061,557f4c8dca1fd27f3892bf771f34ec7800a153265a3a853c36e3606c44304b53,15.0,-0.022916793823242188,"[0.2021510750055313,0.19937431812286377,0.2553631663322449,0.17237642407417297,0.3063318133354187,0.2578907012939453,0.8591980338096619,0.7366651296615601]",0.22091229259967804,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,4.283512115478516,2.681335687637329,4.306428909301758,2.6955220699310303,0,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,119278063,-3.3118999004364014,1.21406728555232,0.18501420319080353,7.327949523925781,0.9999999403953552,dd207ea90c2e34e9fdd8e0cc7a35f67a13887d898ad8461bc88a2ad776853afc,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,1.210549235343933
0.2545548379421234,0.031174516305327415,0.0,23e4d1aa0d0a07807de8ed12084339b1ba5ead4c7acdf3982ea9e16350e77516,multipath_oracle_csi,0.9479362964630127,0.539537787437439,0.9692172408103943,0.06442726403474808,0.0,0.0,0.18201790750026703,0.18992622196674347,0.7501118183135986,0.7231516242027283,0.12184731662273407,193762e8bf84d3851cfc35bae551b66b6e401a2d9e91217277cc3cb4ba08d79b,15.0,0.14675521850585938,"[0.17961420118808746,0.20287121832370758,0.2318945825099945,0.2192707061767578,0.30899563431739807,0.23989368975162506,0.37970277667045593,0.2741958498954773]",0.19946414232254028,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,11.909303665161133,15.521379470825195,11.762548446655273,15.005653381347656,1,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,1239132876,-2.1315507888793945,1.0826668266243176,0.14933057129383087,8.258512496948242,0.9999999403953552,dd207ea90c2e34e9fdd8e0cc7a35f67a13887d898ad8461bc88a2ad776853afc,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,1.617284893989563
0.4976879954338074,0.30808520317077637,0.0,f605e3198fd312994fcf44c2dd7d03e82716489193e159b2313837f03cc3f267,multipath_oracle_csi,-7.694249719381332,-5.160031795501709,0.484954297542572,3.445891857147217,0.01666666753590107,0.07916666567325592,0.047391489148139954,0.1701963245868683,1.135658860206604,1.037549376487732,0.0023677609860897064,dd7b6f298852554e17d8924ac6995802ff76e257ab1b9eb395c83641414e984b,5.0,-0.4605708122253418,"[0.16896191239356995,0.7127686738967896,0.5469743609428406,0.7245391011238098,0.43108445405960083,0.6689885258674622,0.372032105922699,0.35615503787994385]",0.46394750475883484,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,-5.373015880584717,0.2902006506919861,-4.912445068359375,0.3226677179336548,0,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,648303661,-0.28544291853904724,2.002768744372833,0.27000191807746887,5.686331272125244,1.0,34af8f299ac8c282424f79bb61e50db124597ff25a85d01f8031c8d9e5dc4ef0,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,2.8293824195861816
0.5660724639892578,0.31241703033447266,0.0,09da0cb2d47a077d913b15860cd0d4a63b5131375310b4dcbc5976dadbd74e98,multipath_oracle_csi,-7.996814668178558,-5.263251543045044,0.7379860281944275,0.8462578654289246,0.0,0.03333333507180214,0.17668868601322174,0.2706664800643921,0.69229656457901,0.5757038593292236,0.039424944669008255,d83fca26d58f631f93aa11278ffac00a5da095d5bb02e5ea3fdc986ce0e73bda,5.0,-0.09353786706924438,"[0.2169082909822464,0.6669837832450867,0.5642679333686829,0.7534425854682922,0.46136564016342163,0.556949257850647,0.8078382015228271,0.500823974609375]",0.6981427073478699,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,0.7249728441238403,1.1816729307174683,0.8185107111930847,1.2073997259140015,1,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,1926181049,-0.5880078673362732,1.8781765230246337,0.3024172782897949,5.193933963775635,1.0,34af8f299ac8c282424f79bb61e50db124597ff25a85d01f8031c8d9e5dc4ef0,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,2.7261626720428467
0.3654833436012268,0.09738563001155853,0.0,c615fe717bdacfc7ad04f04a8dcafb534a1a268a01fa069e945f962525a409eb,multipath_oracle_csi,-6.576060473918915,-4.545616388320923,0.9044983386993408,0.21507975459098816,0.0,0.01666666753590107,0.12440650910139084,0.17859987914562225,1.3268992900848389,0.7693773508071899,0.09908295422792435,36f4dab22b67d8f5a27ca63db644a6481a9f45f121d65b975a0eae0b679af193,10.0,0.13911771774291992,"[0.1540793776512146,0.5210505127906799,0.45935893058776855,0.634269654750824,0.2836233973503113,0.3723495900630951,0.24113567173480988,0.2579997777938843]",0.24344824254512787,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,6.674004554748535,4.64943790435791,6.534886837005615,4.502862453460693,0,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,662369188,0.8327463269233704,1.6395888781292258,0.2130260169506073,6.715673923492432,1.0,34af8f299ac8c282424f79bb61e50db124597ff25a85d01f8031c8d9e5dc4ef0,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,3.4437978267669678
0.3471226990222931,0.10196353495121002,0.0,da499715f635e102c372595b0cd6f91046eb4c009965ff36c26d0fe6e47c5834,multipath_oracle_csi,-4.005508899688721,-3.097093105316162,0.8944211006164551,0.2517731189727783,0.0,0.07500000298023224,0.08664495497941971,0.16691653430461884,1.4589598178863525,1.3214648962020874,0.04825450852513313,206cd0a798bedeb2900dc3de8c5c41d477a12e3c5dc22460b2576baa4215a26b,10.0,-0.25603294372558594,"[0.1595766395330429,0.20192335546016693,0.30937838554382324,0.6564379334449768,0.37635648250579834,0.32244786620140076,0.2805679142475128,0.4702930152416229]",0.24375218152999878,11dfe94c8491db35a82df2d1e035b5a7f425dd3133825ee829bcc106a4072bda,5.989906311035156,3.971829891204834,6.245939254760742,4.213023662567139,1,8ff2e6876607565e3f3ef005dd84fec04f8a6358f3a1ab7d066198109030c106,1955694594,3.4032979011535645,1.1985733898476043,0.18236711621284485,7.3905348777771,1.0,34af8f299ac8c282424f79bb61e50db124597ff25a85d01f8031c8d9e5dc4ef0,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,4.8923211097717285
