condition,optimization_budget_steps,final_loss,best_loss,final_power_ratio,final_correlation,global_power_weighted_rescaled_nmse,stage1_layerwise_rescaled_loss
clean_awgn_reference,500,0.111219123005867,0.111219123005867,0.858551274985075,0.9484052509069443,0.2197297364473343,0.09947397466748953
data_only_barrage_estimated_csi,500,0.1990388184785843,0.1990388184785843,0.7389053478837013,0.9045786187052727,0.3207850754261017,0.18042910657823086
data_only_barrage_oracle_csi,500,0.1981557458639145,0.1981557458639145,0.7371819000691175,0.9052236080169678,0.3202526867389679,0.17926279082894325
full_barrage_estimated_csi,500,0.2487829029560089,0.2487829029560089,0.6729470696300268,0.8787360265851021,0.3706757426261902,0.22650641575455666
full_barrage_oracle_csi,500,0.1978776901960373,0.1978776901960373,0.7374149821698666,0.9053783938288689,0.3199874460697174,0.17898261360824108
full_barrage_oracle_subtraction,500,0.11121845990419388,0.11121845990419388,0.8586165606975555,0.9484048411250114,0.21972735226154327,0.09947491576895118
pilot_only_jammer_estimated_csi,500,0.06154421716928482,0.06154421716928482,0.9263593293726444,0.9721657559275627,0.1485142707824707,0.05420183949172497
