stage,initial_loss,best_loss,final_loss,zero_predictor_loss,relative_improvement_over_zero,steps_to_best,power_ratio,cosine_similarity,pearson_correlation,passed
O1,1.0397698879241943,0.09509020298719406,0.09509020298719406,1.0,0.9049097970128059,500,0.8810019195079803,0.9562475085258484,0.9562429785728455,True
O2,1.0397698879241943,0.09509020298719406,0.09509020298719406,1.0,0.9049097970128059,500,0.8810019195079803,0.9562475085258484,0.9562429785728455,True
O2-P,1.0397698879241943,0.09509020298719406,0.09509020298719406,1.0,0.9049097970128059,500,0.8810019195079803,0.9562475085258484,0.9562429785728455,True
O3,1.0394068956375122,0.0810696929693222,0.0810696929693222,1.0,0.9189303070306778,500,0.8997862450778484,0.9629893153905869,0.9629845395684242,True
O4,1.0482330322265625,0.11214030534029007,0.11214030534029007,1.0,0.8878596946597099,500,0.8577323071658611,0.9480073675513268,0.9480003789067268,True
O5,1.0874816179275513,0.6905966401100159,0.6905966401100159,1.0,0.30940335988998413,500,0.06024847459048033,0.7859626486897469,0.7859574854373932,False
