cosine_similarity,finite,group,layer,normalized_mse,optimal_scalar_rescaled_normalized_loss,pearson_correlation,power_ratio,raw_mse,reconstruction_mean,reconstruction_power,reconstruction_std,relative_improvement_over_zero,target_power,zero_normalized_mse
0.9409243687987328,True,same_speaker_unseen_utterance_unseen_channel,0,0.11456290259957314,0.11404656618833542,0.9409202635288239,0.8917451947927475,1.4296858459711075,0.029958119615912437,11.184277296066284,3.34415602684021,0.8854370974004269,12.534753203392029,1.0
0.796311154961586,True,same_speaker_unseen_utterance_unseen_channel,1,0.36268422193825245,0.35530343651771545,0.7962939441204071,0.647536862641573,0.7759912982583046,-0.0006514191627502441,1.4328943639993668,1.197035551071167,0.6373157780617476,2.1837127953767776,1.0
0.7314962893724442,True,same_speaker_unseen_utterance_unseen_channel,2,0.4637463390827179,0.4647621214389801,0.7314699441194534,0.5500330924987793,0.6192898750305176,0.006159490905702114,0.733174130320549,0.8562337756156921,0.5362536609172821,1.3321861624717712,1.0
0.6814664304256439,True,same_speaker_unseen_utterance_unseen_channel,3,0.534308172762394,0.5375562310218811,0.6814399287104607,0.46678149327635765,0.5532764866948128,-0.0006027101771906018,0.4789196439087391,0.692039966583252,0.46569182723760605,1.0292354598641396,1.0
0.671636201441288,True,same_speaker_unseen_utterance_unseen_channel,4,0.5480110570788383,0.5516517162322998,0.6715943515300751,0.4685993231832981,0.44666527211666107,0.0004830127872992307,0.37791844829916954,0.6147505640983582,0.45198894292116165,0.8094110637903214,1.0
0.6458505988121033,True,same_speaker_unseen_utterance_unseen_channel,5,0.5821024179458618,0.5838609337806702,0.6458190903067589,0.4209929183125496,0.3952244035899639,0.00015185147640295327,0.2839503400027752,0.5328698754310608,0.4178975820541382,0.676907554268837,1.0
0.6530799567699432,True,same_speaker_unseen_utterance_unseen_channel,6,0.5731639415025711,0.5735875964164734,0.6530582159757614,0.4505671598017216,0.33075152710080147,-0.0013834863202646375,0.259813642129302,0.5097173452377319,0.4268360584974289,0.5762948170304298,1.0
0.6288462281227112,True,same_speaker_unseen_utterance_unseen_channel,7,0.603817842900753,0.606071412563324,0.6288362666964531,0.4113267622888088,0.30541778542101383,0.0010147016728296876,0.2062736265361309,0.45417243242263794,0.396182157099247,0.5038060806691647,1.0
0.9419716596603394,True,seen_utterance_unseen_channel,0,0.11237816512584686,0.11172252148389816,0.9419604390859604,0.8893745690584183,1.3748221956193447,0.03375418484210968,10.94304096698761,3.307854652404785,0.8876218348741531,12.305654048919678,1.0
0.7884459719061852,True,seen_utterance_unseen_channel,1,0.37647048383951187,0.38433802127838135,0.7884355634450912,0.615191612392664,0.7854975126683712,-0.0025291473139077425,1.239529937505722,1.1133389472961426,0.6235295161604881,2.0435864329338074,1.0
