aggregate_loss_mean,group,layer7_improvement_mean,realizations,utterance_id
0.7522615275449223,seen_utterance_unseen_channel,0.18314841588338215,45,data/mini_librispeech/LibriSpeech/train-clean-5/32/21631/32-21631-0016.flac
0.7540018638802899,same_speaker_unseen_utterance_unseen_channel,0.12529585361480713,45,data/mini_librispeech/LibriSpeech/train-clean-5/5789/70653/5789-70653-0024.flac
0.7496621543748512,unseen_speaker_unseen_utterance_unseen_channel,0.11484955549240113,45,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/286674/7850-286674-0005.flac
0.7330693766474724,seen_utterance_unseen_channel,0.1443401296933492,45,data/mini_librispeech/LibriSpeech/train-clean-5/2136/5147/2136-5147-0013.flac
0.7634519213603602,same_speaker_unseen_utterance_unseen_channel,0.11525730556911892,45,data/mini_librispeech/LibriSpeech/train-clean-5/669/129074/669-129074-0007.flac
0.7347096751961443,unseen_speaker_unseen_utterance_unseen_channel,0.10224645005332099,45,data/mini_librispeech/LibriSpeech/dev-clean-2/6319/57405/6319-57405-0005.flac
0.7771192475325531,seen_utterance_unseen_channel,0.1458661397298177,45,data/mini_librispeech/LibriSpeech/train-clean-5/8629/261139/8629-261139-0049.flac
0.780467930684487,same_speaker_unseen_utterance_unseen_channel,0.10774122873942057,45,data/mini_librispeech/LibriSpeech/train-clean-5/6848/252323/6848-252323-0014.flac
0.7753955447839366,unseen_speaker_unseen_utterance_unseen_channel,0.08937283092074924,45,data/mini_librispeech/LibriSpeech/dev-clean-2/1988/24833/1988-24833-0016.flac
0.72934956136677,seen_utterance_unseen_channel,0.12948702971140544,45,data/mini_librispeech/LibriSpeech/train-clean-5/4640/19188/4640-19188-0020.flac
0.8006339316566785,same_speaker_unseen_utterance_unseen_channel,0.11634963883294,45,data/mini_librispeech/LibriSpeech/train-clean-5/7367/86737/7367-86737-0007.flac
0.7868743233382702,unseen_speaker_unseen_utterance_unseen_channel,0.12580360703998142,45,data/mini_librispeech/LibriSpeech/dev-clean-2/2035/152373/2035-152373-0012.flac
0.7623842039869891,seen_utterance_unseen_channel,0.140805098745558,45,data/mini_librispeech/LibriSpeech/train-clean-5/460/172359/460-172359-0020.flac
0.7837842884990904,same_speaker_unseen_utterance_unseen_channel,0.1158454868528578,45,data/mini_librispeech/LibriSpeech/train-clean-5/8629/261139/8629-261139-0009.flac
0.7572508147193326,unseen_speaker_unseen_utterance_unseen_channel,0.08892894321017795,45,data/mini_librispeech/LibriSpeech/dev-clean-2/1993/147964/1993-147964-0002.flac
