aggregate_cosine_similarity,aggregate_finite,aggregate_normalized_mse,aggregate_optimal_scalar_rescaled_normalized_loss,aggregate_pearson_correlation,aggregate_power_ratio,aggregate_raw_mse,aggregate_reconstruction_mean,aggregate_reconstruction_power,aggregate_reconstruction_std,aggregate_relative_improvement_over_zero,aggregate_target_power,aggregate_zero_normalized_mse,applied_equalizer_gain_max,applied_equalizer_gain_mean,applied_equalizer_gain_p95,applied_equalizer_gain_p99,attacked_pilot_count,attacked_pilot_fraction,channel_hash,clipped_resource_fraction,coverage,csi_nmse,equalizer_gain_clip_threshold,group,jammer_channel_hash,jammer_hash,jammer_leakage_power_on_data_resources,layer0_cosine_similarity,layer0_finite,layer0_layer,layer0_normalized_mse,layer0_optimal_scalar_rescaled_normalized_loss,layer0_pearson_correlation,layer0_power_ratio,layer0_raw_mse,layer0_reconstruction_mean,layer0_reconstruction_power,layer0_reconstruction_std,layer0_relative_improvement_over_zero,layer0_target_power,layer0_zero_normalized_mse,layer7_cosine_similarity,layer7_finite,layer7_layer,layer7_normalized_mse,layer7_optimal_scalar_rescaled_normalized_loss,layer7_pearson_correlation,layer7_power_ratio,layer7_raw_mse,layer7_reconstruction_mean,layer7_reconstruction_power,layer7_reconstruction_std,layer7_relative_improvement_over_zero,layer7_target_power,layer7_zero_normalized_mse,layers1_to_7_cosine_similarity,layers1_to_7_normalized_mse,layers1_to_7_optimal_scalar_rescaled_normalized_loss,layers1_to_7_pearson_correlation,layers1_to_7_power_ratio,layers1_to_7_raw_mse,layers1_to_7_relative_improvement_over_zero,layers6_to_7_cosine_similarity,layers6_to_7_normalized_mse,layers6_to_7_optimal_scalar_rescaled_normalized_loss,layers6_to_7_pearson_correlation,layers6_to_7_power_ratio,layers6_to_7_raw_mse,layers6_to_7_relative_improvement_over_zero,legitimate_pilot_power,mask_hash,noise_hash,pilot_evm,pilot_fraction_of_full_grid,pilot_jammer_power,pilot_jsr_db,post_equalization_sinr_db,post_equalization_sinr_linear,raw_equalizer_gain_max,raw_equalizer_gain_mean,raw_equalizer_gain_p95,raw_equalizer_gain_p99,realization,realized_received_global_equivalent_jsr_db,realized_received_pilot_jsr_db,requested_global_equivalent_jsr_db,requested_pilot_jsr_db,seed,snr_db,total_pilot_count,utterance_id
0.5534296035766602,True,0.6695992853492498,0.6670031193643808,0.553409680724144,0.3289926927536726,0.6839201524853706,0.003181085456162691,1.2581542460247874,1.1216702461242676,0.33040071465075016,1.9731786660850048,1.0,6.152993679046631,1.6229300498962402,5.609970569610596,6.152993679046631,32,0.25,a573ce4538fd5f3b098b2e2c60e8966e4c43d148d1cd44820bb8d3be6cec113a,0.0,0.25,0.023118790239095688,,seen_utterance_unseen_channel,c7c38c440361581418f37b59b03dedb40b3a16be2403a67a2efa5caa60de0683,bb7bc46bee11bb0e51d32160e281812c11d1481c87c20005915b5d7fb3d3eeca,0.0,0.9197273850440979,True,0,0.15452484786510468,0.15410150587558746,0.9197313785552979,0.8084744811058044,1.6374672651290894,0.009600511752068996,8.56723403930664,2.9269680976867676,0.8454751521348953,10.596789360046387,1.0,0.5789530873298645,True,7,0.6665491461753845,0.6648134589195251,0.5789411664009094,0.28868231177330017,0.2962518632411957,-0.0016307649202644825,0.12830662727355957,0.3581954538822174,0.3334508538246155,0.44445616006851196,1.0,0.5011013490813119,0.7431813478469849,0.7402747784342084,0.5010780096054077,0.2604952944176538,0.5476991363934108,0.25681865215301514,0.4666420519351959,0.7708751559257507,0.7696314752101898,0.4666144400835037,0.21720679849386215,0.35459454357624054,0.22912484407424927,1.0,577a1c9292a5413fd80b80a1a13757b90bc7ef5628449a80e3f33ba8e70df642,ed750c81711222cea067bd8cab6a810ec395a83f0f79c16b50ec4f3eed36b0ff,0.5448279976844788,0.0625,0.10000000149011612,-10.0,-1.3726997375488281,0.7290042042732239,6.152993679046631,1.6229300498962402,5.609970569610596,6.152993679046631,0,-30.10286521911621,-11.790750503540039,-28.06179973983887,-10.0,1702987056,5.0,128,data/mini_librispeech/LibriSpeech/train-clean-5/19/198/19-198-0025.flac
0.452359888702631,True,0.7716421522200108,0.7695349380373955,0.45232098922133446,0.2673368724063039,1.3479886390268803,-0.0022933846339583397,1.1983879087492824,1.094706654548645,0.22835784777998924,2.3677857145667076,1.0,5.584517002105713,1.497497797012329,2.7099111080169678,5.584517002105713,32,0.25,cedff1974a311ccb51bacb1ea0af4fe86bee624d509c96915278ba40608370a6,0.0,0.25,0.01432908233255148,,same_speaker_unseen_utterance_unseen_channel,bec2cb5eaddbeb926cfd729177513a1450f368fc4ab120da10034f16f01d7f13,692c674ff8e6933504193d0c0026a3d0f5008e3bc793dc3c2711b226f1c7de4e,0.0,0.7424334287643433,True,0,0.4524780809879303,0.44879263639450073,0.7424597144126892,0.6450352668762207,5.449310302734375,0.012710971757769585,7.7683258056640625,2.787142753601074,0.5475219190120697,12.043257713317871,1.0,0.3350713551044464,True,7,0.889581024646759,0.8877272605895996,0.33503639698028564,0.14298014342784882,0.4603906273841858,-0.0026271783281117678,0.07399743795394897,0.27201202511787415,0.11041897535324097,0.517536461353302,1.0,0.41092081155095783,0.8172370195388794,0.8153552668435233,0.4108725999082838,0.2133799589106015,0.7620855442115239,0.1827629804611206,0.3741820901632309,0.8593977093696594,0.8584581315517426,0.3741251826286316,0.15899097174406052,0.47446025907993317,0.14060229063034058,1.0,5e399d672a46035be15791fefb9da2f4f447ebf8427b8fcdf415140f34ecc833,e9d2812b89cad5c7bdf160be4bb744957da9a6415b0750a7abbf0f69be3870d1,0.5654053688049316,0.0625,0.10000000894069672,-10.0,0.35727351903915405,1.08574378490448,5.584517002105713,1.497497797012329,2.7099111080169678,5.584517002105713,0,-29.026851654052734,-10.415681838989258,-28.06179973983887,-10.0,885187365,5.0,128,data/mini_librispeech/LibriSpeech/train-clean-5/1898/145715/1898-145715-0006.flac
0.46474840492010117,True,0.7623128928244114,0.7612199671566486,0.4647376649081707,0.25925127044320107,1.2523192763328552,0.01194051280617714,1.3364510564133525,1.155988097190857,0.2376871071755886,2.5511790215969086,1.0,12.900267601013184,1.333851933479309,3.2446863651275635,12.900267601013184,32,0.25,ae2abd7ed570c8c2d797b25cde593cf5a686279a5077b403ea7846414c1acfb0,0.0,0.25,0.005593097768723965,,unseen_speaker_unseen_utterance_unseen_channel,82d47dc7bb44943675fe65da28515e0f3700df6727a3525d61890a038d9a9e43,8266523d7dc46ae37f3601db12ed12f020925bffcc131cbed8c3b323a5404270,0.0,0.8385882377624512,True,0,0.2968214452266693,0.2967697083950043,0.8384641408920288,0.715344250202179,3.7993288040161133,0.09383389353752136,9.156441688537598,3.024506092071533,0.7031785547733307,12.800048828125,1.0,0.3324229419231415,True,7,0.8944706320762634,0.8894949555397034,0.332461416721344,0.16237783432006836,0.4719235897064209,0.003599409945309162,0.08567070960998535,0.2926734685897827,0.10552936792373657,0.5276010036468506,1.0,0.4113427145140512,0.8288116710526603,0.8275700041225978,0.41134816833904814,0.1940951304776328,0.8884607723781041,0.17118832894733974,0.35015256702899933,0.880752295255661,0.8770788609981537,0.35014744102954865,0.16795732825994492,0.5067585408687592,0.11924770474433899,1.0,d384d2343931c4fb8120f7d89f73e6e9a58cf313404bdae8acd6cd28731a0d07,b8e8f43b437eb176decf1062e99e324e5f240a0cf80c727a0e9276dad9841e43,0.39360833168029785,0.0625,0.09999998658895493,-10.0,-1.5497101545333862,0.6998887062072754,12.900267601013184,1.333851933479309,3.2446863651275635,12.900267601013184,0,-36.85429763793945,-18.613601684570312,-28.06179973983887,-10.0,1069474239,5.0,128,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
0.4530000686645508,True,0.7731378190219402,0.7724872604012489,0.4530152194201946,0.23467231541872025,1.3314986564218998,0.009829648770391941,1.2547869426198304,1.1201295852661133,0.22686218097805977,2.513180673122406,1.0,4.637108325958252,1.2075726985931396,2.0183560848236084,4.637108325958252,32,0.25,5198b9f36f49cd356a7b55dd225736a03ba69a4b2a8deb42923dab5b27ad3305,0.0,0.25,0.027201738208532333,,seen_utterance_unseen_channel,ac73d80afd2e56de3042266e95290e3f8bf1956467574e4bd9c0d063e1c07036,b5d27f7e31cbec9ad945fcf4f7a22252560fa315a36ece9a9d3853aa2cec330d,0.0,0.8063796162605286,True,0,0.35060617327690125,0.3497518301010132,0.8062427043914795,0.6982420682907104,4.279232978820801,0.07923463732004166,8.522212982177734,2.9182074069976807,0.6493938267230988,12.205241203308105,1.0,0.3098466694355011,True,7,0.9044588208198547,0.9039950370788574,0.31008169054985046,0.10981431603431702,0.4906797707080841,-0.004593095742166042,0.059575583785772324,0.24403788149356842,0.09554117918014526,0.5425119996070862,1.0,0.40251727615083965,0.8334994826998029,0.8328780361584255,0.4025541501385825,0.16844806500843593,0.9103937532220568,0.16650051730019705,0.3215053230524063,0.8980710506439209,0.896498441696167,0.32160593569278717,0.128999225795269,0.5138475745916367,0.1019289493560791,1.0,6ce891848440d280a78e3145e507d827d44f28905ba65d7a0f6e0314d51f2741,a569b027cd761174dc57206f02768399fd8e8b81bfca2b52b23a779d8ec75a6b,0.5501437187194824,0.0625,0.10000001639127731,-10.0,1.8834083080291748,1.5429108142852783,4.637108325958252,1.2075726985931396,2.0183560848236084,4.637108325958252,1,-27.655757904052734,-9.401395797729492,-28.06179973983887,-10.0,993267694,5.0,128,data/mini_librispeech/LibriSpeech/train-clean-5/4680/16042/4680-16042-0021.flac
0.45679256692528725,True,0.7604643236845732,0.7584855277091265,0.4567852057516575,0.27498105727136135,1.006963588297367,0.0061642504297196865,1.4640223663300276,1.2099522352218628,0.23953567631542683,2.3695116080343723,1.0,6.159538745880127,1.5838961601257324,3.3395166397094727,6.159538745880127,32,0.25,357ae61b617bed14aa8dee0fc2a6467195b648f9bc8f0d94b88d5bd1d500241a,0.0,0.25,0.004235339816659689,,same_speaker_unseen_utterance_unseen_channel,1c7c756db81113412ba1dd37eaa4dd867405dbd0f6aff498a83d7a7cee15111a,e5972111e17a19ee92da2497b4037a64de9f117491698a4430a18338119b3b75,0.0,0.8704575300216675,True,0,0.24309347569942474,0.24230356514453888,0.8704531788825989,0.8074153065681458,3.131387948989868,0.036458902060985565,10.400651931762695,3.2247979640960693,0.7569065243005753,12.881415367126465,1.0,0.4710865616798401,True,7,0.7827145457267761,0.7780774831771851,0.47110646963119507,0.2907174527645111,0.35963064432144165,0.0013704219600185752,0.13357475399971008,0.36547622084617615,0.21728545427322388,0.459465891122818,1.0,0.39769757219723295,0.8343744448253086,0.8322258080754962,0.39768978101866587,0.198919021657535,0.703474393912724,0.16562555517469132,0.361036017537117,0.861771285533905,0.8575418889522552,0.3610208183526993,0.19428260624408722,0.430012583732605,0.13822871446609497,1.0,1e78a50a241d1a58597f204d647542723d022a136ffadc9951248fea9a7ef37f,3845289011a46aa921572ea4e33e0bd7e421d21afa31335c40f64ad417a54b42,0.6239569187164307,0.0625,0.10000000894069672,-10.0,-0.7696138620376587,0.837603747844696,6.159538745880127,1.5838961601257324,3.3395166397094727,6.159538745880127,1,-27.377044677734375,-9.264688491821289,-28.06179973983887,-10.0,1342367890,5.0,128,data/mini_librispeech/LibriSpeech/train-clean-5/19/198/19-198-0035.flac
0.37540380470454693,True,0.8208130970597267,0.8184685371816158,0.3754069795832038,0.2044358979910612,1.4535325318574905,0.0013541405787691474,1.1726015120511875,1.0828664302825928,0.17918690294027328,2.549058400094509,1.0,19.16493797302246,2.814033031463623,8.560324668884277,19.16493797302246,32,0.25,df0d4f49537592a3dfc645e41d16f34e22c31823732222cbb42e035380cff861,0.0,0.25,0.01627098023891449,,unseen_speaker_unseen_utterance_unseen_channel,f35ef9aee72cac94a72c632214274c380f8a7977bb6ab639b893cf3047e08dee,18f6b7a49025be745131a061f3ba79fb91a7f6f4cf1221d090ae6ea7ce5f3bdb,0.0,0.775321900844574,True,0,0.39936167001724243,0.3988761603832245,0.775283932685852,0.6357755661010742,4.95076322555542,0.04180723428726196,7.8815131187438965,2.8070921897888184,0.6006383299827576,12.39669132232666,1.0,0.11365027725696564,True,7,0.9891335964202881,0.9870835542678833,0.11368799954652786,0.025257527828216553,0.5619798302650452,0.00037904977216385305,0.014350156299769878,0.11979154497385025,0.010866403579711914,0.5681536197662354,1.0,0.3182726481131145,0.8810204437800816,0.8784103052956718,0.31828170056853977,0.14281594540391648,0.9539281470435006,0.11897955621991839,0.21739815920591354,0.9440106153488159,0.9419744312763214,0.2173745073378086,0.07964924722909927,0.5683509707450867,0.05598938465118408,1.0,d9657db99f0736339df1ee483c3c58c8f4125f71ff78fe2cf198e7cd1cb5d662,e051ab645e0916a4f8b005c82256adf286a07a8cf4ec9c689b5d93eba51c8e4d,1.0298925638198853,0.0625,0.09999999403953552,-10.0,-6.649923801422119,0.2162756323814392,19.16493797302246,2.814033031463623,8.560324668884277,19.16493797302246,1,-23.408859252929688,-5.415590286254883,-28.06179973983887,-10.0,1149557013,5.0,128,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
0.4775746613740921,True,0.7447771169245243,0.7416276559233665,0.4775504544377327,0.2851447006687522,1.0703841485083103,0.004897799808532,1.5593269346281886,1.2487205266952515,0.2552228830754757,2.4852088019251823,1.0,4.800234317779541,1.6614630222320557,3.708894968032837,4.800234317779541,32,0.25,cf6862352a1b5e747a476af45658df6e369e551aef688b879922d0f65d614857,0.0,0.25,0.0168334748595953,,seen_utterance_unseen_channel,729ebd1511db44c4613fef24708c3dce13bf7e1290532adafd5aa27790c6ca72,ba2a35a8435d3cc5c25645cbce02debf8a7d46097cfd7f0164425fafce13bfde,0.0,0.8481053709983826,True,0,0.2821119725704193,0.28071731328964233,0.8480599522590637,0.7840226292610168,3.918820381164551,0.05514722689986229,10.89086627960205,3.299670696258545,0.7178880274295807,13.891010284423828,1.0,0.2625325322151184,True,7,0.9354573488235474,0.93107670545578,0.2626648247241974,0.10805605351924896,0.4257863461971283,0.0035264675971120596,0.049183208495378494,0.2217448353767395,0.06454265117645264,0.455163836479187,1.0,0.42464170285633634,0.8108721375465393,0.8074719905853271,0.42462052617754253,0.21387642515557154,0.6634646867002759,0.1891278624534607,0.27528947591781616,0.927120566368103,0.9240529537200928,0.27528563141822815,0.10845595970749855,0.4530077874660492,0.07287943363189697,1.0,b7497a3b58386286a7c1f86f4a131572260b0f19c0acce1a57428802e9d63650,1aba4a202b0fee1609651e74cc959700efbe65059de46b6a4b24ff8d2d8729f7,0.6114935278892517,0.0625,0.09999998658895493,-10.0,-0.8335382342338562,0.8253652453422546,4.800234317779541,1.6614630222320557,3.708894968032837,4.800234317779541,2,-27.930660247802734,-8.776559829711914,-28.06179973983887,-10.0,522717665,5.0,128,data/mini_librispeech/LibriSpeech/train-clean-5/1898/145715/1898-145715-0023.flac
0.4876360073685646,True,0.7284289859235287,0.7274768427014351,0.4876001998782158,0.27254559518769383,1.1557879149913788,0.0066244229674339294,1.3423117746133357,1.1585628986358643,0.27157101407647133,2.493706814944744,1.0,4.989160537719727,1.314520239830017,3.2118465900421143,4.989160537719727,32,0.25,491c42f86fe530dd15d7da35cc20f782d3c2e06eb43adc8c81659b2b2cb5f547,0.0,0.25,0.010346225462853909,,same_speaker_unseen_utterance_unseen_channel,2037f6afec01b0afa3ed53c0e1d60353fe3ee64b27767037f2f79c77a2147d2d,120d2ba8849b29a118f578503d63a9e20389a6dd54330a847ce60e55b47c65b3,0.0,0.8378044962882996,True,0,0.29810842871665955,0.2980835437774658,0.8378077745437622,0.7103046774864197,3.69279408454895,0.00959946122020483,8.79884147644043,2.966268539428711,0.7018915712833405,12.387418746948242,1.0,0.2108810842037201,True,7,0.9562737941741943,0.9555292129516602,0.21088188886642456,0.05672450736165047,0.5019495487213135,0.0001550051529193297,0.029774779453873634,0.1725536286830902,0.043726205825805664,0.5249015092849731,1.0,0.4376119375228882,0.7899033512387957,0.7888187425477164,0.4375705463545663,0.210008583430733,0.79335846219744,0.21009664876120432,0.2937101870775223,0.9072459638118744,0.9068736732006073,0.2937111109495163,0.09927004761993885,0.5165712237358093,0.09275403618812561,1.0,e9769f1400ab8f4aa0f8e2a9add9d03681e830934b3dc7af3f6bca3d536aaa0d,6d095eb30fd76b1c1a88218af9e4880478638d5d035774792e2d8d306c11e630,0.5022073984146118,0.0625,0.10000000894069672,-10.0,1.750727891921997,1.4964864253997803,4.989160537719727,1.314520239830017,3.2118465900421143,4.989160537719727,2,-30.977251052856445,-12.657007217407227,-28.06179973983887,-10.0,1643387720,5.0,128,data/mini_librispeech/LibriSpeech/train-clean-5/1970/28415/1970-28415-0024.flac
0.4034320116043091,True,0.8049088902771473,0.8029257208108902,0.403439586982131,0.22599971806630492,1.3077149130403996,0.0028998239431530237,1.2916907737962902,1.1365220546722412,0.1950911097228527,2.485433366149664,1.0,12.753442764282227,1.9705970287322998,4.743595600128174,12.753442764282227,32,0.25,843873ea5bcfcf7e2bc22fb6822491e3f7c765fe146a3e56b1af4092db218e5d,0.0,0.25,0.012034054845571518,,unseen_speaker_unseen_utterance_unseen_channel,b64f2366935db19269601b935828c64e6fe02a65f5fafdd935e9fb2a182fbdb0,ccd867b15d62fa18e22f3a84397c1a97c5081ab53a9e9865f91908cd807dc69e,0.0,0.8095000982284546,True,0,0.3456709682941437,0.34470975399017334,0.8094764947891235,0.7064468860626221,4.442332744598389,0.031714148819446564,9.078783988952637,3.012935161590576,0.6543290317058563,12.851332664489746,1.0,0.15732194483280182,True,7,0.9793448448181152,0.9752497673034668,0.15733876824378967,0.048980582505464554,0.48030397295951843,-0.0011038576485589147,0.02402174100279808,0.15498556196689606,0.020655155181884766,0.4904339611530304,1.0,0.34542228494371685,0.8705143077032906,0.8683851446424212,0.34543431443827494,0.15736440835254534,0.8599123656749725,0.12948569229670934,0.190366730093956,0.9655494689941406,0.9626685678958893,0.1903577670454979,0.0594011377543211,0.5206392258405685,0.034450531005859375,1.0,0de888a45883ef45dcbac6a75b35168fe490b506f98312afa03a26b70f180975,bf4ac5186e81a9adbad42c33195b77b15a14884811f6d05f8ade5309d06ce77f,0.6023083329200745,0.0625,0.09999999403953552,-10.0,-4.415504455566406,0.3617841601371765,12.753442764282227,1.9705970287322998,4.743595600128174,12.753442764282227,2,-30.840290069580078,-12.463621139526367,-28.06179973983887,-10.0,125849470,5.0,128,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/281318/7850-281318-0012.flac
0.44156189635396004,True,0.7921600192785263,0.7911181263625622,0.4415557123720646,0.2203163132071495,1.5283926092088223,0.002840303350239992,1.0198106057941914,1.009852647781372,0.2078399807214737,2.462458960711956,1.0,8.813295364379883,1.3674713373184204,2.6599295139312744,8.813295364379883,32,0.25,6242a31cc4f70ad388b982b3cbe3d27bfa16c65abf027bc4c1e10d604497648b,0.0,0.25,0.027981949970126152,,seen_utterance_unseen_channel,d42139e8c4c2a0225d94b1631ac03fdeca6213936d74492266cd1ed7536dae8b,c68f15f2207a0d79f3e6031f94927ec9eb7443f17046972b4ff399336a79a449,0.0,0.7158401608467102,True,0,0.4885951280593872,0.48757287859916687,0.715837299823761,0.5592246651649475,5.890512466430664,0.03274890035390854,6.742023944854736,2.596334218978882,0.5114048719406128,12.05601978302002,1.0,0.4420848786830902,True,7,0.8046233057975769,0.8045609593391418,0.44209104776382446,0.18852679431438446,0.41370245814323425,0.0005946682067587972,0.0969323143362999,0.31133899092674255,0.1953766942024231,0.514156699180603,1.0,0.40237928714071003,0.8355264323098319,0.8344817331859044,0.4023726284503937,0.1719008343560355,0.9052326296057019,0.1644735676901681,0.4073283523321152,0.8331054449081421,0.8328756093978882,0.40732812881469727,0.15644106268882751,0.4713046997785568,0.1668945550918579,1.0,f7d08195b3561f1c9f427dc608b62202e99d271b5452142b42671ba45657da31,469cfe3145505f506b51c9b1801ff36ea2aa9080774b3b090330494a7c56003e,0.5160320401191711,0.0625,0.09999999403953552,-10.0,0.22813750803470612,1.0539348125457764,8.813295364379883,1.3674713373184204,2.6599295139312744,8.813295364379883,3,-31.895200729370117,-13.641219139099121,-28.06179973983887,-10.0,585174151,5.0,128,data/mini_librispeech/LibriSpeech/train-clean-5/7367/86737/7367-86737-0107.flac
