aggregate_normalized_mse_below_2_percent_rate,aggregate_normalized_mse_below_5_percent_rate,aggregate_normalized_mse_mean,aggregate_normalized_mse_median,aggregate_normalized_mse_minimum,aggregate_normalized_mse_negative_rate,aggregate_normalized_mse_p05,aggregate_normalized_mse_p10,aggregate_normalized_mse_std,aggregate_relative_improvement_over_zero_below_2_percent_rate,aggregate_relative_improvement_over_zero_below_5_percent_rate,aggregate_relative_improvement_over_zero_mean,aggregate_relative_improvement_over_zero_median,aggregate_relative_improvement_over_zero_minimum,aggregate_relative_improvement_over_zero_negative_rate,aggregate_relative_improvement_over_zero_p05,aggregate_relative_improvement_over_zero_p10,aggregate_relative_improvement_over_zero_std,coverage,csi_nmse_below_2_percent_rate,csi_nmse_below_5_percent_rate,csi_nmse_mean,csi_nmse_median,csi_nmse_minimum,csi_nmse_negative_rate,csi_nmse_p05,csi_nmse_p10,csi_nmse_std,group,layer7_pearson_correlation_below_2_percent_rate,layer7_pearson_correlation_below_5_percent_rate,layer7_pearson_correlation_mean,layer7_pearson_correlation_median,layer7_pearson_correlation_minimum,layer7_pearson_correlation_negative_rate,layer7_pearson_correlation_p05,layer7_pearson_correlation_p10,layer7_pearson_correlation_std,layer7_power_ratio_below_2_percent_rate,layer7_power_ratio_below_5_percent_rate,layer7_power_ratio_mean,layer7_power_ratio_median,layer7_power_ratio_minimum,layer7_power_ratio_negative_rate,layer7_power_ratio_p05,layer7_power_ratio_p10,layer7_power_ratio_std,layer7_relative_improvement_over_zero_below_2_percent_rate,layer7_relative_improvement_over_zero_below_5_percent_rate,layer7_relative_improvement_over_zero_mean,layer7_relative_improvement_over_zero_median,layer7_relative_improvement_over_zero_minimum,layer7_relative_improvement_over_zero_negative_rate,layer7_relative_improvement_over_zero_p05,layer7_relative_improvement_over_zero_p10,layer7_relative_improvement_over_zero_std,layers1_to_7_relative_improvement_over_zero_below_2_percent_rate,layers1_to_7_relative_improvement_over_zero_below_5_percent_rate,layers1_to_7_relative_improvement_over_zero_mean,layers1_to_7_relative_improvement_over_zero_median,layers1_to_7_relative_improvement_over_zero_minimum,layers1_to_7_relative_improvement_over_zero_negative_rate,layers1_to_7_relative_improvement_over_zero_p05,layers1_to_7_relative_improvement_over_zero_p10,layers1_to_7_relative_improvement_over_zero_std,layers6_to_7_relative_improvement_over_zero_below_2_percent_rate,layers6_to_7_relative_improvement_over_zero_below_5_percent_rate,layers6_to_7_relative_improvement_over_zero_mean,layers6_to_7_relative_improvement_over_zero_median,layers6_to_7_relative_improvement_over_zero_minimum,layers6_to_7_relative_improvement_over_zero_negative_rate,layers6_to_7_relative_improvement_over_zero_p05,layers6_to_7_relative_improvement_over_zero_p10,layers6_to_7_relative_improvement_over_zero_std,n,pilot_evm_below_2_percent_rate,pilot_evm_below_5_percent_rate,pilot_evm_mean,pilot_evm_median,pilot_evm_minimum,pilot_evm_negative_rate,pilot_evm_p05,pilot_evm_p10,pilot_evm_std,pilot_jsr_db,post_equalization_sinr_db_below_2_percent_rate,post_equalization_sinr_db_below_5_percent_rate,post_equalization_sinr_db_mean,post_equalization_sinr_db_median,post_equalization_sinr_db_minimum,post_equalization_sinr_db_negative_rate,post_equalization_sinr_db_p05,post_equalization_sinr_db_p10,post_equalization_sinr_db_std,snr_db
0.0,0.0,0.7442775340750813,0.7488140407949686,0.6695992853492498,0.0,0.6866094623692334,0.6963416635990143,0.040114744253756045,0.0,0.0,0.25572246592491865,0.2511859592050314,0.18019992113113403,0.0,0.20092996582388878,0.2129426095634699,0.040114744253756045,0.25,0.5625,1.0,0.020623902906663716,0.018449684605002403,0.007736888714134693,0.0,0.008258595131337643,0.008784604724496603,0.009723700346582983,seen_utterance_unseen_channel,0.0,0.0,0.36907437443733215,0.3749650716781616,0.24257925152778625,0.0,0.2576434314250946,0.272189199924469,0.07909162577932925,0.0,0.0,0.14221818326041102,0.13698138296604156,0.06561445444822311,0.0,0.08224428445100784,0.09792180731892586,0.04842246170155873,0.0,0.0,0.14142883569002151,0.13983336091041565,0.05868422985076904,0.0,0.06307804584503174,0.07184749841690063,0.06395145363366547,0.0,0.0,0.1943794930619853,0.1861116588115692,0.11783622843878609,0.0,0.14655117903436932,0.1602981984615326,0.039180321712992974,0.0,0.0,0.13794932328164577,0.13174332678318024,0.07287943363189697,0.0,0.07878641784191132,0.09134218096733093,0.03876147944302051,16,0.0,0.0,0.5825754981487989,0.5607737600803375,0.465774804353714,0.0,0.4781712591648102,0.4888382852077484,0.10081599343118143,-10.0,0.5,0.5,-0.3730995384976268,-0.30270036309957504,-6.480961799621582,0.5,-4.842684268951416,-4.211456775665283,3.1624317777008426,5.0
0.0,0.0,0.793411995167844,0.7976176105439663,0.7101589683443308,0.0,0.7238614815287292,0.738394170999527,0.041511716663269554,0.0,0.0,0.206588004832156,0.2023823894560337,0.14106372371315956,0.0,0.14913097862154245,0.1568451151251793,0.041511716663269554,0.25,0.6875,0.9375,0.01943139145441819,0.013716178014874458,0.0026360719930380583,0.0,0.0038355228607542813,0.004413610324263573,0.015588358502149761,same_speaker_unseen_utterance_unseen_channel,0.0,0.0,0.28479331638664007,0.2828167825937271,0.1524084210395813,0.0,0.17324011027812958,0.19543571770191193,0.07971579511699972,0.0,0.0625,0.11455133254639804,0.10989320650696754,0.04932040348649025,0.0,0.05449127499014139,0.05646970309317112,0.05574475107510152,0.125,0.3125,0.08348807319998741,0.07759028673171997,0.0026682019233703613,0.0,0.012703552842140198,0.029584825038909912,0.05158808152053509,0.0,0.0,0.14424633154911654,0.1307441762515477,0.07870332683835711,0.0,0.09815445116588048,0.10603095378194537,0.04181763486898952,0.0,0.1875,0.0913828443735838,0.09176109731197357,0.024837642908096313,0.0,0.04154852032661438,0.04726439714431763,0.03568010657933473,16,0.0,0.0,0.6339174155145884,0.5876960456371307,0.39702215790748596,0.0,0.47591108828783035,0.5063726603984833,0.1963974616081899,-10.0,0.5625,0.5625,-2.2117285798303783,-0.6389439702033997,-15.513164520263672,0.5625,-9.176185011863708,-6.244257926940918,4.2727696997931846,5.0
0.0,0.0,0.7991189267486334,0.8053736817091703,0.714701771736145,0.0,0.7327634654939175,0.7505484614521265,0.04150680766387115,0.0,0.0,0.20088107325136662,0.19462631829082966,0.13086999207735062,0.0,0.1313372664153576,0.14551175758242607,0.04150680766387115,0.25,0.625,0.875,0.02334344940027222,0.017726123332977295,0.005593097768723965,0.0,0.007580450503155589,0.010129145812243223,0.01625695091001184,unseen_speaker_unseen_utterance_unseen_channel,0.0,0.0,0.2615735703147948,0.2538509666919708,0.11368799954652786,0.0,0.13154620863497257,0.14741885662078857,0.09473093814311642,0.0,0.1875,0.1033328277990222,0.09447065368294716,0.025257527828216553,0.0,0.04153600241988897,0.047971371561288834,0.050525666904643426,0.125,0.4375,0.07408739253878593,0.0622025728225708,0.004400908946990967,0.0,0.009250029921531677,0.015561610460281372,0.052761665838882275,0.0,0.0,0.13972777953105314,0.12975364071982248,0.051817893981933594,0.0,0.07737196981906891,0.09320111785616193,0.04375355789957833,0.0,0.25,0.08792429231107235,0.06945514678955078,0.029429882764816284,0.0,0.03215945512056351,0.03375992178916931,0.04631764670831501,16,0.0,0.0,0.6667875293642282,0.5874513685703278,0.3421933352947235,0.0,0.38075458258390427,0.4128739535808563,0.2729131154253394,-10.0,0.75,0.75,-3.345551375299692,-3.2836833000183105,-14.520121574401855,0.75,-10.920552730560303,-8.286590099334717,4.6894974810886305,5.0
0.0,0.0,0.7568763601593673,0.7541823489591479,0.6806434504687786,0.0,0.6864307899959385,0.6929268045350909,0.05249271884985257,0.0,0.0,0.24312363984063268,0.24581765104085207,0.10387984663248062,0.0,0.16118675656616688,0.19425814040005207,0.05249271884985257,0.5,0.6875,0.875,0.024262882012408227,0.016601726412773132,0.006058746017515659,0.0,0.007816540077328682,0.009186887182295322,0.021488716491566535,seen_utterance_unseen_channel,0.0,0.0,0.3275741161778569,0.30533263087272644,0.13068796694278717,0.0,0.1924484558403492,0.22928012907505035,0.10519075969488921,0.0,0.0625,0.11562629754189402,0.10165857523679733,0.02877599187195301,0.0,0.05153560405597091,0.06074587628245354,0.05507495707669149,0.0625,0.1875,0.1164020299911499,0.09302359819412231,0.015559375286102295,0.0,0.03312239050865173,0.04438719153404236,0.07469906342844455,0.0,0.0,0.18204406914966448,0.1798472617353712,0.07730285610471453,0.0,0.10785669726984842,0.12673522744859966,0.04788821619594927,0.0,0.0625,0.13109270296990871,0.13096883893013,0.03645697236061096,0.0,0.05754179507493973,0.07299433648586273,0.05426129869663788,16,0.0,0.0,0.6762193404138088,0.5843410193920135,0.448478639125824,0.0,0.45578915625810623,0.46090294420719147,0.27353803880396876,-10.0,0.6875,0.6875,-1.6079824157059193,-2.2019351720809937,-6.616166114807129,0.6875,-6.390789747238159,-5.173232555389404,2.924774682888106,5.0
0.0,0.0,0.7707254635170102,0.7713886182755232,0.7255249787122011,0.0,0.7294470178894699,0.7341774832457304,0.028096193087082947,0.0,0.0,0.2292745364829898,0.22861138172447681,0.1779354065656662,0.0,0.1887537892907858,0.19626514986157417,0.028096193087082947,0.5,0.75,0.9375,0.01712527553900145,0.010089559014886618,0.006100846454501152,0.0,0.006490032537840307,0.007116420194506645,0.013996678652814242,same_speaker_unseen_utterance_unseen_channel,0.0,0.0,0.2888132482767105,0.295531764626503,0.10288490355014801,0.0,0.16530447825789452,0.20830553770065308,0.07849941724237841,0.0,0.125,0.11431773658841848,0.10165014117956161,0.0400850772857666,0.0,0.045976052060723305,0.06691218167543411,0.054381100615059116,0.0625,0.1875,0.08728218078613281,0.08628305792808533,0.0010968446731567383,0.0,0.025455057621002197,0.04140689969062805,0.04608607650929047,0.0,0.0,0.16659476874130114,0.16665945308549063,0.11434389012200492,0.0,0.12798462169510977,0.13678930486951557,0.02693700490753768,0.0,0.0625,0.10092106461524963,0.09457363188266754,0.03352785110473633,0.0,0.04861140996217728,0.055774420499801636,0.038448069231257785,16,0.0,0.0,0.5835628546774387,0.5655869245529175,0.39264607429504395,0.0,0.43577371537685394,0.4550585448741913,0.10610688370721041,-10.0,0.4375,0.4375,0.3725649304687977,1.2484494149684906,-5.7567925453186035,0.4375,-4.059346556663513,-3.145941972732544,2.9000700997785587,5.0
0.0,0.0,0.7889419759158045,0.7851827219128609,0.7273418381810188,0.0,0.748209860175848,0.7581087816506624,0.027345513397130754,0.0,0.0,0.2110580240841955,0.21481727808713913,0.15993582457304,0.0,0.17395694088190794,0.17954369075596333,0.027345513397130754,0.5,0.625,1.0,0.0204737227759324,0.015665024984627962,0.007062643766403198,0.0,0.00999023369513452,0.011368024628609419,0.011992385313028967,unseen_speaker_unseen_utterance_unseen_channel,0.0,0.0,0.2749340869486332,0.2623670697212219,0.16923640668392181,0.0,0.17251796647906303,0.18156228959560394,0.07827406335274786,0.0,0.0,0.10964520811103284,0.10168278589844704,0.051327552646398544,0.0,0.05344355013221502,0.05755666643381119,0.04338493662576925,0.0625,0.375,0.07796422019600868,0.06728798151016235,0.009039878845214844,0.0,0.019927814602851868,0.02512335777282715,0.04709015865052275,0.0,0.0,0.1461441426404885,0.1472039946487972,0.09815873418535505,0.0,0.1070416612284524,0.1100035309791565,0.030920521683213856,0.0,0.1875,0.09142926149070263,0.08174344897270203,0.02567228674888611,0.0,0.029228493571281433,0.030633777379989624,0.04167801444216963,16,0.0,0.0,0.664405694231391,0.6312604546546936,0.3734036982059479,0.0,0.4569042846560478,0.4847480058670044,0.2048310098855443,-10.0,0.625,0.625,-0.9809812312014401,-0.6722970902919769,-7.823417663574219,0.625,-6.961019158363342,-5.257673501968384,3.2863233653884762,5.0
0.0,0.0,0.7545595209812745,0.7572720302268863,0.6728492584079504,0.0,0.6785674276761711,0.6934166494756937,0.04597000218479427,0.0,0.0,0.24544047901872545,0.24272796977311373,0.15318285673856735,0.0,0.18953217566013336,0.20193724893033504,0.04597000218479427,1.0,0.625,0.9375,0.02250407794781495,0.018689324147999287,0.0031516451854258776,0.0,0.007891406596172601,0.010897785425186157,0.01345781667913047,seen_utterance_unseen_channel,0.0,0.0,0.37544553168118,0.38549137115478516,0.17044836282730103,0.0,0.23385509103536606,0.2695905566215515,0.09154232900368499,0.0,0.0,0.13723251363262534,0.12957119196653366,0.05562164634466171,0.0,0.07487689517438412,0.08803331106901169,0.043334633586733035,0.0,0.0625,0.14772021397948265,0.1475546956062317,0.024805963039398193,0.0,0.05290210247039795,0.07150021195411682,0.06896636705955465,0.0,0.0,0.18562925926276616,0.18048872692244394,0.1154870901788984,0.0,0.13097693026065824,0.14113382356507437,0.04231288888543812,0.0,0.0,0.14843830466270447,0.1405637264251709,0.09393864870071411,0.0,0.09675709158182144,0.10224494338035583,0.04413279117631609,16,0.0,0.0,0.6575935129076242,0.6548299491405487,0.4524601995944977,0.0,0.5113633200526237,0.533685714006424,0.12013008697629382,-10.0,0.5625,0.5625,-0.7081539686769247,-0.8652309328317642,-4.958250999450684,0.5625,-4.734531879425049,-4.200488805770874,2.491414275229505,5.0
0.0,0.0,0.7914509228430688,0.7931728381663561,0.7375796046108007,0.0,0.7491623121313751,0.7557122353464365,0.037065181325100685,0.0,0.0,0.20854907715693116,0.2068271618336439,0.12644942477345467,0.0,0.13453104346990585,0.154882425442338,0.037065181325100685,1.0,0.5625,0.9375,0.02306301286444068,0.01892873737961054,0.0055050477385520935,0.0,0.006658114725723863,0.01101941242814064,0.01547123416296675,same_speaker_unseen_utterance_unseen_channel,0.0,0.0,0.31658094748854637,0.31133684515953064,0.21970590949058533,0.0,0.23423874378204346,0.24152632057666779,0.062335760636009256,0.0,0.0,0.1310622610617429,0.12919217348098755,0.05975380539894104,0.0,0.06015325058251619,0.06870327331125736,0.051743042122258893,0.0,0.125,0.10171245783567429,0.0961538553237915,0.044595420360565186,0.0,0.04688701033592224,0.05238589644432068,0.04238685358646465,0.0,0.0,0.14507504499384336,0.15778398513793945,0.063032899584089,0.0,0.06429319935185568,0.08612068636076792,0.03881758890727047,0.0,0.0,0.1150440201163292,0.11911679804325104,0.06339523196220398,0.0,0.07228215038776398,0.07699236273765564,0.03001551568630389,16,0.0,0.0,0.7193478774279356,0.6400781869888306,0.4510798156261444,0.0,0.5091001763939857,0.5397687256336212,0.20011531557064222,-10.0,0.75,0.75,-2.8828333225101233,-3.951233386993408,-8.44820785522461,0.75,-6.700376391410828,-6.110761404037476,3.4886978798460357,5.0
0.0,0.0,0.786705564474687,0.7821805849671364,0.7170067131519318,0.0,0.7435797937214375,0.7560622077435255,0.03108599596735102,0.0,0.0,0.21329443552531302,0.21781941503286362,0.1572105512022972,0.0,0.16790795512497425,0.1725730039179325,0.03108599596735102,1.0,0.6875,1.0,0.020640116068534553,0.016970220021903515,0.008616551756858826,0.0,0.009661195334047079,0.01168365404009819,0.009932003835449456,unseen_speaker_unseen_utterance_unseen_channel,0.0,0.0,0.2627196116372943,0.27903716266155243,0.08605530858039856,0.0,0.11909953132271767,0.1652691438794136,0.07748648106363597,0.0,0.125,0.10105808218941092,0.10136759281158447,0.030160140246152878,0.0,0.0409666458144784,0.04843183234333992,0.04027458968923096,0.125,0.3125,0.07231913134455681,0.07634621858596802,-0.0002689361572265625,0.0625,0.007725611329078674,0.02433374524116516,0.038804373331830726,0.0,0.0,0.15333531451012405,0.1552129089832306,0.10292391266141619,0.0,0.10614140118871417,0.11043506860733032,0.031470677980690316,0.0625,0.1875,0.0863740723580122,0.09454625844955444,0.013742387294769287,0.0,0.023743517696857452,0.03489461541175842,0.03374782633654127,16,0.0,0.0,0.6633341126143932,0.6476175487041473,0.47446292638778687,0.0,0.5442979037761688,0.5716111660003662,0.09653527694065649,-10.0,0.6875,0.6875,-2.259186767041683,-1.6746399402618408,-12.02049446105957,0.6875,-8.307310819625854,-6.613737106323242,4.0983736856072,5.0
0.0,0.0,0.760673820739612,0.7521181581541896,0.690650437027216,0.0,0.7046523727476597,0.7187597695738077,0.03662809817627668,0.0,0.0,0.23932617926038802,0.2478818418458104,0.17937512695789337,0.0,0.1852543530985713,0.19239614065736532,0.03662809817627668,0.25,0.5,0.875,0.027074572892161086,0.018606167286634445,0.004853827878832817,0.0,0.005510697024874389,0.008601999143138528,0.028037583451160482,seen_utterance_unseen_channel,0.0,0.0,0.3415777459740639,0.35407106578350067,0.189144104719162,0.0,0.21994653716683388,0.23287628591060638,0.07987071900275246,0.0,0.0625,0.12279043276794255,0.11844905093312263,0.04466715827584267,0.0,0.06319220643490553,0.07901635020971298,0.047094929817411896,0.0,0.0625,0.1215253621339798,0.12465441226959229,0.022909462451934814,0.0,0.044717565178871155,0.05344858765602112,0.055518776234350295,0.0,0.0,0.17802533454128674,0.18349963000842504,0.10953927040100098,0.0,0.12146277512822834,0.13692499910082137,0.03581201601677612,0.0,0.0625,0.1331866979598999,0.13226474821567535,0.033767253160476685,0.0,0.06392274796962738,0.07842172682285309,0.049713862876957546,16,0.0,0.0,0.697685219347477,0.6575168371200562,0.38530024886131287,0.0,0.40478917956352234,0.4231996536254883,0.2338492437518145,-5.0,0.8125,0.8125,-1.9805497682536952,-1.9997872710227966,-11.891271591186523,0.8125,-8.076239109039307,-6.135468244552612,4.048238116704041,5.0
