cosine_similarity,finite,group,layer,normalized_mse,optimal_scalar_rescaled_normalized_loss,pearson_correlation,power_ratio,raw_mse,reconstruction_mean,reconstruction_power,reconstruction_std,relative_improvement_over_zero,target_power,zero_normalized_mse
0.7421102821826935,True,same_speaker_unseen_utterance_unseen_channel,0,0.4496324770152569,0.4479578733444214,0.742115743458271,0.5935499891638756,5.624454975128174,0.04360313341021538,7.439560949802399,2.7272074222564697,0.5503675229847431,12.534753203392029,1.0
0.5715449452400208,True,same_speaker_unseen_utterance_unseen_channel,1,0.6642856150865555,0.6491707563400269,0.5715249441564083,0.36337609589099884,1.4186484962701797,-0.0031590221915394068,0.8237702995538712,0.9076124429702759,0.3357143849134445,2.1837127953767776,1.0
0.5217459946870804,True,same_speaker_unseen_utterance_unseen_channel,2,0.7255014106631279,0.7219969630241394,0.5217125378549099,0.2977149561047554,0.9623465016484261,0.004435116425156593,0.39840950071811676,0.6311812996864319,0.2744985893368721,1.3321861624717712,1.0
0.4594850204885006,True,same_speaker_unseen_utterance_unseen_channel,3,0.7878967970609665,0.7875720262527466,0.4594801478087902,0.2332708202302456,0.8110080733895302,-0.0004028486437164247,0.23800796829164028,0.48786044120788574,0.2121032029390335,1.0292354598641396,1.0
0.4144679941236973,True,same_speaker_unseen_utterance_unseen_channel,4,0.8292353600263596,0.8281903862953186,0.41441530734300613,0.20089660584926605,0.6713244542479515,0.0015552830882370472,0.16336806025356054,0.4041851758956909,0.17076463997364044,0.8094110637903214,1.0
0.368771567940712,True,same_speaker_unseen_utterance_unseen_channel,5,0.8663856834173203,0.8647897243499756,0.3687802739441395,0.16984722390770912,0.5866730399429798,-0.0006447912892326713,0.11455002147704363,0.3384517729282379,0.13361431658267975,0.676907554268837,1.0
0.3880360722541809,True,same_speaker_unseen_utterance_unseen_channel,6,0.8493550568819046,0.8487192392349243,0.38799506798386574,0.17111535370349884,0.489458080381155,-0.0009224223904311657,0.09850489906966686,0.31385353207588196,0.1506449431180954,0.5762948170304298,1.0
0.34265314042568207,True,same_speaker_unseen_utterance_unseen_channel,7,0.8847057595849037,0.8828542828559875,0.34262393042445183,0.15485340729355812,0.4460587091743946,0.001771437586285174,0.07761495932936668,0.2785889804363251,0.11529424041509628,0.5038060806691647,1.0
0.7595382332801819,True,seen_utterance_unseen_channel,0,0.41914756782352924,0.42107176780700684,0.7594872564077377,0.5680607929825783,5.182429373264313,0.03257160261273384,6.967882573604584,2.6394736766815186,0.5808524321764708,12.305654048919678,1.0
0.5427221693098545,True,seen_utterance_unseen_channel,1,0.6996187940239906,0.694220781326294,0.5427266210317612,0.3033886570483446,1.4187002182006836,-0.0008357645128853619,0.6254825703799725,0.7908741235733032,0.30038120597600937,2.0435864329338074,1.0
0.5481548756361008,True,seen_utterance_unseen_channel,2,0.6957816705107689,0.7056712508201599,0.548119742423296,0.29305210523307323,0.9688479006290436,0.0022704077418893576,0.38731273636221886,0.6223404407501221,0.3042183294892311,1.3726950734853745,1.0
0.5029999017715454,True,seen_utterance_unseen_channel,3,0.746325396001339,0.7447309494018555,0.5030045919120312,0.2362799011170864,0.7333144545555115,0.0007765016052871943,0.23340110667049885,0.48311543464660645,0.25367460399866104,0.9842292293906212,1.0
0.48646822944283485,True,seen_utterance_unseen_channel,4,0.7599282637238503,0.7667077779769897,0.48648400604724884,0.22791516035795212,0.6089336313307285,0.0007685358868911862,0.17494023405015469,0.41825786232948303,0.24007173627614975,0.7940265238285065,1.0
0.45243003219366074,True,seen_utterance_unseen_channel,5,0.794596940279007,0.7975375652313232,0.4524126797914505,0.19076253473758698,0.5450393967330456,1.367986169498181e-05,0.12786866445094347,0.3575872778892517,0.20540305972099304,0.6831459142267704,1.0
0.4325808882713318,True,seen_utterance_unseen_channel,6,0.8113842979073524,0.8114379644393921,0.43254049867391586,0.1809553001075983,0.46269963309168816,0.001240464742295444,0.10283587127923965,0.32067790627479553,0.18861570209264755,0.570157777518034,1.0
0.42152997106313705,True,seen_utterance_unseen_channel,7,0.8206449002027512,0.8221938610076904,0.4215191751718521,0.16420979425311089,0.40723274275660515,0.0010526712285354733,0.0806063418276608,0.2839106023311615,0.17935509979724884,0.4951012209057808,1.0
0.707319363951683,True,unseen_speaker_unseen_utterance_unseen_channel,0,0.5007941722869873,0.49988648295402527,0.707244299352169,0.5438725352287292,6.205983340740204,0.05198923125863075,6.737021207809448,2.5950562953948975,0.4992058277130127,12.392269253730774,1.0
0.5179842114448547,True,unseen_speaker_unseen_utterance_unseen_channel,1,0.7290326878428459,0.7243590354919434,0.5179537795484066,0.3277094140648842,1.6419178545475006,0.004564191680401564,0.7419946119189262,0.8613790273666382,0.2709673121571541,2.2595212757587433,1.0
