burst_start_symbol,layer0_loss,layer1_loss,layer2_loss,layer3_loss,layer4_loss,layer5_loss,layer6_loss,layer7_loss,sample_id
24,0.21554730832576752,0.6841012239456177,0.7270048260688782,0.8039169311523438,0.8204809427261353,0.9373884201049805,1.0102161169052124,0.9740319848060608,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=0
0,0.3764638900756836,0.8197963237762451,0.9579029679298401,0.8654975891113281,0.8268400430679321,0.8622241020202637,0.9205704927444458,0.9013969898223877,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=0
15,0.347944974899292,0.6852179169654846,0.8002822995185852,0.9008122086524963,0.6965566873550415,0.831157922744751,0.7952224612236023,0.8410938382148743,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=0
12,0.23720303177833557,0.7786913514137268,0.7233970165252686,0.7417736053466797,0.6106268167495728,0.9791221022605896,0.883255660533905,0.62642502784729,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=1
22,0.2516952455043793,0.9048766493797302,0.8738129138946533,0.851856529712677,0.863743782043457,0.9652804732322693,0.932206928730011,0.7734641432762146,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=1
10,0.2994173765182495,0.7673647403717041,0.7890275120735168,0.8508650064468384,0.8509295582771301,0.833868682384491,0.9072036147117615,0.9109259247779846,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=1
11,0.15028594434261322,0.7097989320755005,0.6998083591461182,0.7894080877304077,0.8352442383766174,0.7299841046333313,0.9128324389457703,0.7977256774902344,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=2
3,0.555266797542572,0.9260793328285217,0.7665802240371704,0.9022576212882996,0.9446715116500854,0.994294285774231,0.8603301644325256,0.8681384325027466,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=2
3,0.3909989297389984,0.6878402233123779,0.7767919301986694,0.8097214698791504,0.8376010060310364,0.9073372483253479,0.9048012495040894,0.9212481379508972,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=2
11,0.6677398681640625,0.9618636965751648,0.9420499205589294,0.9919739365577698,0.9463187456130981,0.8076546788215637,0.850700855255127,0.9826932549476624,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=3
