cached_direct_layer_0_max_abs_error,cached_direct_layer_1_max_abs_error,cached_direct_layer_2_max_abs_error,cached_direct_layer_3_max_abs_error,cached_direct_layer_4_max_abs_error,cached_direct_layer_5_max_abs_error,cached_direct_layer_6_max_abs_error,cached_direct_layer_7_max_abs_error,cached_direct_max_abs_error,cached_direct_mean_abs_error,cached_latent_hash,cached_vs_clean_output_dc_mean,cached_vs_clean_output_peak,cached_vs_clean_output_rms,cached_vs_clean_si_sdr_db,cached_vs_clean_stft_l1,cached_vs_clean_stoi_available,cached_vs_clean_waveform_correlation,cached_vs_clean_waveform_snr_db,clean_output_dc_mean,clean_output_peak,clean_output_rms,clean_si_sdr_db,clean_stft_l1,clean_stoi_available,clean_waveform_correlation,clean_waveform_snr_db,direct_latent_hash,latent_shape,normalization_max_abs_error,normalization_mean_abs_error,roundtrip_vs_clean_output_dc_mean,roundtrip_vs_clean_output_peak,roundtrip_vs_clean_output_rms,roundtrip_vs_clean_si_sdr_db,roundtrip_vs_clean_stft_l1,roundtrip_vs_clean_stoi_available,roundtrip_vs_clean_waveform_correlation,roundtrip_vs_clean_waveform_snr_db,utterance_id,waveform_hash
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a03b7d2771d61019c48fd3c3d30e7c5d97b9492bbead271db6c59e929e549c5a,-6.078505975892767e-05,0.6263020038604736,0.057725679129362106,94.2582778930664,0.0,False,1.0,95.22738647460938,-6.078505975892767e-05,0.6263020038604736,0.057725679129362106,-3.0558013916015625,0.10654783993959427,False,0.5753340721130371,1.13875150680542,a03b7d2771d61019c48fd3c3d30e7c5d97b9492bbead271db6c59e929e549c5a,"[8, 50, 1024]",0.0,0.0,-6.078505975892767e-05,0.6263020038604736,0.057725679129362106,94.2582778930664,0.0,False,1.0,95.22738647460938,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac,a8efa80a856d151fcf7e182b8af254563d46c9012828e01a2869e6f6b83c86a0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c336c0ab617d51d7fdcb7f86da21188c65f506054d7a191edad0c21ecb560cd6,-9.759225940797478e-05,0.4471777081489563,0.04575806111097336,92.24022674560547,0.0,False,1.0,93.2093505859375,-9.759225940797478e-05,0.4471777081489563,0.04575806111097336,-4.196104049682617,0.10481484234333038,False,0.5250150561332703,0.5473993420600891,c336c0ab617d51d7fdcb7f86da21188c65f506054d7a191edad0c21ecb560cd6,"[8, 50, 1024]",0.0,0.0,-9.759225940797478e-05,0.4471777081489563,0.04575806111097336,92.24022674560547,0.0,False,1.0,93.2093505859375,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac,a261ee430ac281169d58099e70e0abd44aa1b9616fb787f55092a747efceb019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,efc319f556159640677fc317803ef553933aa0d9e66ea7723ccd28c403ab68c6,-0.00014093820936977863,0.25225239992141724,0.03541955351829529,90.01570129394531,0.0,False,1.0,90.98486328125,-0.00014093820936977863,0.25225239992141724,0.03541955351829529,0.005089821759611368,0.06342943012714386,False,0.7073138952255249,2.663470506668091,efc319f556159640677fc317803ef553933aa0d9e66ea7723ccd28c403ab68c6,"[8, 50, 1024]",0.0,0.0,-0.00014093820936977863,0.25225239992141724,0.03541955351829529,90.01570129394531,0.0,False,1.0,90.98486328125,data/mini_librispeech/LibriSpeech/dev-clean-2/7850/281318/7850-281318-0012.flac,156277cccb2c29c78aa26d6d2e8013382baa2655a46f072f7a7d5a2b78fd326b
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ce8ee41c8a7df8e1494ffcfbcba1d1a5f424fafb28f8757c52511447ee1896cf,-0.0001034213273669593,0.30184516310691833,0.08453051745891571,97.5711669921875,0.0,False,1.0,98.54026794433594,-0.0001034213273669593,0.30184516310691833,0.08453051745891571,4.855162620544434,0.1062939465045929,False,0.8681054711341858,6.048129081726074,ce8ee41c8a7df8e1494ffcfbcba1d1a5f424fafb28f8757c52511447ee1896cf,"[8, 50, 1024]",0.0,0.0,-0.0001034213273669593,0.30184516310691833,0.08453051745891571,97.5711669921875,0.0,False,1.0,98.54026794433594,data/mini_librispeech/LibriSpeech/dev-clean-2/3576/138058/3576-138058-0013.flac,5d5b1ea4578161e971f0ae8208764419602d68fa83aad2b277159388f00e63ae
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777070fba24347e2c5bc865baa6ab09a1438f154356faf4b6ebb8ece3a993016,-9.536906873108819e-05,0.3608989119529724,0.07903099805116653,96.98684692382812,0.0,False,1.0,97.95594787597656,-9.536906873108819e-05,0.3608989119529724,0.07903099805116653,4.784915447235107,0.07495655864477158,False,0.866366982460022,5.848114967346191,777070fba24347e2c5bc865baa6ab09a1438f154356faf4b6ebb8ece3a993016,"[8, 50, 1024]",0.0,0.0,-9.536906873108819e-05,0.3608989119529724,0.07903099805116653,96.98684692382812,0.0,False,1.0,97.95594787597656,data/mini_librispeech/LibriSpeech/dev-clean-2/251/118436/251-118436-0008.flac,688c64066130cc95b0c72c9e9047e657693141b7da577d62a5c667e3e8628dfb
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e045d35112c2469f6e700e330273e9479edb99e2f171919113bf23248767b5c,-0.0006308653391897678,0.3315277397632599,0.07441219687461853,96.46347045898438,0.0,False,1.0,97.43287658691406,-0.0006308653391897678,0.3315277397632599,0.07441219687461853,6.331048965454102,0.06339597702026367,False,0.9006623029708862,7.172724723815918,4e045d35112c2469f6e700e330273e9479edb99e2f171919113bf23248767b5c,"[8, 50, 1024]",0.0,0.0,-0.0006308653391897678,0.3315277397632599,0.07441219687461853,96.46347045898438,0.0,False,1.0,97.43287658691406,data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170142/1462-170142-0023.flac,e8ebd47926a28470dc5a782279b8fc99de7e6f5a4cced57a58b98b4bd9291190
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60f713c54392d9168fc04a28f35ef47a337ff85afeb3f83b60aa73b9ca7ed503,-0.0001830442633945495,0.4868467450141907,0.06158822774887085,94.82081604003906,0.0,False,0.9999999403953552,95.78995513916016,-0.0001830442633945495,0.4868467450141907,0.06158822774887085,7.4522199630737305,0.05602377653121948,False,0.920654296875,8.153558731079102,60f713c54392d9168fc04a28f35ef47a337ff85afeb3f83b60aa73b9ca7ed503,"[8, 50, 1024]",0.0,0.0,-0.0001830442633945495,0.4868467450141907,0.06158822774887085,94.82081604003906,0.0,False,0.9999999403953552,95.78995513916016,data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,6a2a84ed92bf61fc211508db844d2c374caa300483911866e0fbed32f634ff94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456ddc467fb60c53c01a7e3caca3cac56f51dc1728abc95cdc174e8f6ceed445,-8.724084182176739e-05,0.4098604619503021,0.06147104501724243,94.80430603027344,0.0,False,1.0,95.77340698242188,-8.724084182176739e-05,0.4098604619503021,0.06147104501724243,0.24741601943969727,0.11125893145799637,False,0.7171047329902649,2.3016629219055176,456ddc467fb60c53c01a7e3caca3cac56f51dc1728abc95cdc174e8f6ceed445,"[8, 50, 1024]",0.0,0.0,-8.724084182176739e-05,0.4098604619503021,0.06147104501724243,94.80430603027344,0.0,False,1.0,95.77340698242188,data/mini_librispeech/LibriSpeech/dev-clean-2/8297/275156/8297-275156-0003.flac,a8784a70b34b8ca3c7c98fab8b26826ca04eb8d84911397ef71347006eb290eb
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b1080adc236241d3b6fc4c2f79e4d8162692d2113c3024f94ba28d235292e6b0,-0.0001573868648847565,0.24214091897010803,0.05991119146347046,94.5810317993164,0.0,False,1.0,95.55015563964844,-0.0001573868648847565,0.24214091897010803,0.05991119146347046,1.6684486865997314,0.11284978687763214,False,0.7712845206260681,3.7432944774627686,b1080adc236241d3b6fc4c2f79e4d8162692d2113c3024f94ba28d235292e6b0,"[8, 50, 1024]",0.0,0.0,-0.0001573868648847565,0.24214091897010803,0.05991119146347046,94.5810317993164,0.0,False,1.0,95.55015563964844,data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0010.flac,d11fe52da6bd1957835314bc80542f653641da1248888fa7d5de40f9cf98315f
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6ef827a3950947d8cfb55e87f4faedc11b472215b3d84da62075912f489059dc,-0.0005684439674951136,0.3558066487312317,0.07261446863412857,96.2510986328125,0.0,False,1.0,97.22046661376953,-0.0005684439674951136,0.3558066487312317,0.07261446863412857,4.56777286529541,0.06306714564561844,False,0.8608800172805786,5.47023344039917,6ef827a3950947d8cfb55e87f4faedc11b472215b3d84da62075912f489059dc,"[8, 50, 1024]",0.0,0.0,-0.0005684439674951136,0.3558066487312317,0.07261446863412857,96.2510986328125,0.0,False,1.0,97.22046661376953,data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0019.flac,8644cc420da66b8088c8cda4ba78045966f03a5ef4d342802b591aaa81d30858
