aggregate_layer_nmse,clean_si_sdr_db,clean_stft_l1,clean_waveform_snr_db,delta_si_sdr_db,delta_waveform_snr_db,si_sdr_db,stft_l1,stft_ratio,summed_latent_correlation,summed_latent_nmse,summed_latent_power_ratio,summed_latent_snr_db,utterance_id,waveform_snr_db
0.22225654125213623,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.5003468990325928,0.2843681573867798,-2.603658437728882,0.08200541883707047,1.0894199704112288,0.9296820163726807,0.1365414708852768,0.9203401803970337,8.647354125976562,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,1.354447364807129
0.21110254526138306,7.409512519836426,0.07010137289762497,7.990209579467773,-1.220341682434082,-0.9572958946228027,6.189170837402344,0.07350775599479675,1.0485922451496978,0.9282670021057129,0.13823652267456055,0.8722175359725952,8.593771934509277,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,7.032913684844971
0.2470807135105133,-0.9442669153213501,0.12594273686408997,1.9172885417938232,-0.4618288278579712,0.11228251457214355,-1.4060957431793213,0.13007283210754395,1.0327934372897656,0.9356215596199036,0.12494605779647827,0.9099005460739136,9.032774925231934,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61943/6241-61943-0026.flac,2.029571056365967
0.17012616991996765,2.5081710815429688,0.1248461976647377,3.971006393432617,0.5216152667999268,0.4847698211669922,3.0297863483428955,0.12962904572486877,1.038309921724448,0.9332870244979858,0.12969233095645905,0.9212762713432312,8.870857238769531,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6295/244435/6295-244435-0025.flac,4.455776214599609
0.23153124749660492,-1.4382336139678955,0.05378742143511772,2.053325653076172,-1.3804569244384766,-1.685920774936676,-2.818690538406372,0.06774500757455826,1.2594953572235692,0.9275312423706055,0.1410905420780182,0.9314110279083252,8.505021095275879,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1988/147956/1988-147956-0020.flac,0.36740487813949585
0.2608124315738678,0.5820378661155701,0.03059161826968193,2.532683849334717,-0.3714982569217682,-0.31279993057250977,0.21053960919380188,0.03216787800192833,1.051525869548672,0.950272798538208,0.0978662446141243,0.9602540731430054,10.093670845031738,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/8842/304647/8842-304647-0008.flac,2.219883918762207
0.18409553170204163,5.88787841796875,0.06683364510536194,6.827053070068359,-0.22976970672607422,-0.19555902481079102,5.658108711242676,0.07245577871799469,1.0841213075206293,0.9503383040428162,0.09778383374214172,0.9618804454803467,10.097330093383789,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3000/15664/3000-15664-0010.flac,6.631494045257568
0.19926851987838745,5.975652694702148,0.2256418913602829,6.94328498840332,-0.8514728546142578,-0.7673854827880859,5.124179840087891,0.2620067298412323,1.1611617340278608,0.9258835315704346,0.1427009403705597,0.8753362894058228,8.455732345581055,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3752/4944/3752-4944-0000.flac,6.175899505615234
0.20009514689445496,4.799922466278076,0.05775555595755577,5.834351062774658,-0.09437227249145508,0.07411384582519531,4.705550193786621,0.06331853568553925,1.096319386693666,0.936668336391449,0.12417396903038025,0.9540961384773254,9.059694290161133,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0020.flac,5.9084649085998535
0.21902088820934296,7.450991153717041,0.056031566113233566,8.152566909790039,-2.270526885986328,-2.1285300254821777,5.180464267730713,0.06292135268449783,1.1229625914317793,0.9142348170280457,0.17276988923549652,1.0143232345581055,7.625319480895996,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,6.024036884307861
