configuration,si_sdr_db,delta_si_sdr_db,waveform_snr_db,delta_waveform_snr_db,stft_ratio,aggregate_layer_nmse,summed_latent_nmse,summed_latent_snr_db,summed_latent_power_ratio,model_parameter_count,optimizer_steps,symbol_frames,channel_uses
cf1,-5.462453132378869,-7.724441384314559,0.9787993678764906,-3.3996692264045123,1.4641333600532105,0.6620321869850159,0.2629397511482239,5.8014373779296875,0.80689537525177,16280192,18500,30,1920
cf2,1.8425165521912277,-0.41947169974446297,4.0515024005726445,-0.32696619370835833,1.0490705511461034,0.19391073286533356,0.11787107586860657,9.285927772521973,0.908288300037384,16266320,19500,50,1920
cf3,1.9388858913152944,-0.3231023606203962,4.170391660649329,-0.20807693363167346,1.0311976707981012,0.20123551785945892,0.11607955396175385,9.352442741394043,0.896545946598053,16280192,13500,50,3200
cf4,2.1855070528108627,-0.07648119912482798,4.137174617033452,-0.24129397724755108,1.030983679030748,0.09237685799598694,0.06761044263839722,11.699862480163574,0.9520131945610046,48372096,12500,50,3200
cf5,2.3672563014551997,0.10526804951950908,4.363219512626529,-0.01524908165447414,1.0120177056169395,0.04009987413883209,0.03650914505124092,14.375983238220215,0.9786233901977539,48372096,25500,50,3200
