architecture,cosine_similarity,finite,group,layer,normalized_mse,optimal_scalar_rescaled_normalized_loss,pearson_correlation,power_ratio,raw_mse,reconstruction_mean,reconstruction_power,reconstruction_std,relative_improvement_over_zero,subset,target_power,zero_normalized_mse
g0_exposure_normalized_v1,0.15561348013579845,True,same_speaker_unseen_utterance_unseen_channel,0,0.9889692515134811,0.9758215546607971,0.15560650452971458,0.0016644564602756873,12.396621465682983,0.0004921089275740087,0.020848918007686734,0.14439070224761963,0.01103074848651886,subset_16,12.534753203392029,1.0
g0_exposure_normalized_v1,0.006372996329446323,True,same_speaker_unseen_utterance_unseen_channel,1,1.006847158074379,0.9999540448188782,0.00636847956047859,0.007956110232044011,2.1979185342788696,-0.00012290470476727933,0.016799519769847393,0.12961290776729584,-0.006847158074378967,subset_16,2.1837127953767776,1.0
g0_exposure_normalized_v1,0.006128376393462531,True,same_speaker_unseen_utterance_unseen_channel,2,1.0107652992010117,0.9999622106552124,0.006121669630374527,0.012110126903280616,1.3463240414857864,0.000124897196656093,0.015925877378322184,0.1261977106332779,-0.010765299201011658,subset_16,1.3321861624717712,1.0
g0_exposure_normalized_v1,0.001596801339474041,True,same_speaker_unseen_utterance_unseen_channel,3,1.0147406458854675,0.9999975562095642,0.0015873229422140867,0.015164897427894175,1.0441556200385094,-0.000692963891196996,0.015306430053897202,0.12371722608804703,-0.01474064588546753,subset_16,1.0292354598641396,1.0
g0_exposure_normalized_v1,0.0045230997420731,True,same_speaker_unseen_utterance_unseen_channel,4,1.0171889513731003,0.999981164932251,0.004519976137089543,0.018488683504983783,0.8232758417725563,-0.0003396145475562662,0.014816400245763361,0.12172216176986694,-0.01718895137310028,subset_16,0.8094110637903214,1.0
g0_exposure_normalized_v1,-0.0010601764333841857,True,same_speaker_unseen_utterance_unseen_channel,5,1.021890565752983,0.9999987483024597,-0.0010606309479044285,0.021596809616312385,0.6916508451104164,5.372654413804412e-05,0.014518044074065983,0.12049083411693573,-0.021890565752983093,subset_16,0.676907554268837,1.0
g0_exposure_normalized_v1,0.0025578354252502322,True,same_speaker_unseen_utterance_unseen_channel,6,1.0238853096961975,0.9999923706054688,0.0025948243273887783,0.024651577696204185,0.5899388492107391,0.001169968512840569,0.014142873114906251,0.11891806125640869,-0.02388530969619751,subset_16,0.5762948170304298,1.0
g0_exposure_normalized_v1,0.003397741646040231,True,same_speaker_unseen_utterance_unseen_channel,7,1.0260809659957886,0.9999889731407166,0.003394894767552614,0.02720081922598183,0.5168856419622898,2.3120082914829254e-05,0.013629339635372162,0.1167447566986084,-0.026080965995788574,subset_16,0.5038060806691647,1.0
g0_exposure_normalized_v1,0.21514923684298992,True,seen_utterance_unseen_channel,0,0.9840704947710037,0.9532376527786255,0.21513930894434452,0.0016615085769444704,12.109497904777527,0.00043819425627589226,0.020368149736896157,0.14271634817123413,0.015929505228996277,subset_16,12.305654048919678,1.0
g0_exposure_normalized_v1,0.10856553725898266,True,seen_utterance_unseen_channel,1,0.9888141825795174,0.9876837134361267,0.10857139155268669,0.00834356906125322,2.0193464010953903,0.0001452680880902335,0.016425875248387456,0.1281633973121643,0.011185817420482635,subset_16,2.0435864329338074,1.0
g0_exposure_normalized_v1,0.10636284295469522,True,seen_utterance_unseen_channel,2,0.9890954345464706,0.988153874874115,0.10636487323790789,0.011706241872161627,1.3564431369304657,0.00016797109856270254,0.01549392705783248,0.12447448819875717,0.010904565453529358,subset_16,1.3726950734853745,1.0
g0_exposure_normalized_v1,0.1021210327744484,True,seen_utterance_unseen_channel,3,0.9904452115297318,0.9891467094421387,0.10212001670151949,0.015674505149945617,0.9739125669002533,-0.0004366462235338986,0.014999109436757863,0.12247007340192795,0.00955478847026825,subset_16,0.9842292293906212,1.0
g0_exposure_normalized_v1,0.10690345987677574,True,seen_utterance_unseen_channel,4,0.9897925406694412,0.9881720542907715,0.10690477956086397,0.01857623434625566,0.7851692885160446,-0.0002460857795085758,0.0144064825726673,0.12002675235271454,0.010207459330558777,subset_16,0.7940265238285065,1.0
g0_exposure_normalized_v1,0.10980692598968744,True,seen_utterance_unseen_channel,5,0.9894455149769783,0.9876051545143127,0.10980892088264227,0.02109895762987435,0.6754057221114635,-5.953572781436378e-06,0.01415818347595632,0.11898816376924515,0.010554485023021698,subset_16,0.6831459142267704,1.0
g0_exposure_normalized_v1,0.10882351454347372,True,seen_utterance_unseen_channel,6,0.9906558692455292,0.9878051280975342,0.10881310235708952,0.02465353114530444,0.5643717274069786,0.0010647810995578766,0.013817008351907134,0.11754094809293747,0.009344130754470825,subset_16,0.570157777518034,1.0
