frame,summed_nmse
0,0.12452796846628189
1,0.12003511935472488
2,0.12103042006492615
3,0.09462031722068787
4,0.09289325028657913
5,0.10122862458229065
6,0.10782194137573242
7,0.11633890867233276
8,0.0930606946349144
9,0.09510008990764618
10,0.1046595349907875
11,0.09468799829483032
12,0.11924516409635544
13,0.10193221271038055
14,0.09982705116271973
15,0.10055621713399887
16,0.09142496436834335
17,0.11461329460144043
18,0.0981549546122551
19,0.09972629696130753
20,0.09818962216377258
21,0.09520184993743896
22,0.11652464419603348
23,0.09834789484739304
24,0.09790662676095963
25,0.10240688920021057
26,0.09638140350580215
27,0.11474882811307907
28,0.10109605640172958
29,0.09995432198047638
30,0.09113527089357376
31,0.0916997641324997
32,0.11893605440855026
33,0.09173797816038132
34,0.0929541364312172
35,0.10785451531410217
36,0.12088701874017715
37,0.1213684007525444
38,0.10067272931337357
39,0.09768939018249512
40,0.09458237886428833
41,0.10489239543676376
42,0.18271160125732422
43,0.3696601092815399
44,0.1706339418888092
45,0.12886551022529602
46,0.10462581366300583
47,0.12349170446395874
48,0.10636428743600845
49,0.10865868628025055
