layer,raw_mse,normalized_mse,target_power,reconstruction_power,power_ratio,cosine_similarity,pearson_correlation
0,5.903601169586182,0.4600773751735687,12.831757545471191,2.7061166763305664,0.21089212596416473,0.817471444606781,0.8174171447753906
1,0.5531539916992188,0.22626999020576477,2.4446635246276855,1.4295995235443115,0.5847837328910828,0.8882523775100708,0.888252317905426
2,0.27863001823425293,0.18288381397724152,1.5235357284545898,1.0851547718048096,0.7122607827186584,0.9060769081115723,0.9060757160186768
3,0.1845032125711441,0.16132789850234985,1.1436535120010376,0.9011714458465576,0.7879759073257446,0.9162355661392212,0.9162306785583496
4,0.13645318150520325,0.14988452196121216,0.910388708114624,0.7630512714385986,0.8381598591804504,0.9220401048660278,0.9220383763313293
5,0.09642025083303452,0.13673298060894012,0.7051718831062317,0.6356099843978882,0.9013546705245972,0.9293381571769714,0.92933589220047
6,0.08986388891935349,0.13885505497455597,0.6471776366233826,0.5874613523483276,0.9077281355857849,0.9283008575439453,0.9283011555671692
7,0.06626684218645096,0.12921443581581116,0.5128439664840698,0.4894070029258728,0.9542999863624573,0.9341374635696411,0.9341375827789307
