aggregate_layer_nmse,channel_policy,clean_si_sdr_db,clean_stft_l1,clean_waveform_snr_db,csi_nmse,delta_si_sdr_db,delta_waveform_snr_db,pilot_evm,post_equalization_sinr_db,post_equalization_sinr_linear,realization,seed,si_sdr_db,snr_db,stft_l1,stft_ratio,summed_latent_correlation,summed_latent_nmse,summed_latent_power_ratio,summed_latent_snr_db,utterance_id,utterance_index,waveform_snr_db
0.6331124901771545,fixed,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.0062998090870678425,0.7621016502380371,0.6319366693496704,0.3061204254627228,4.893595218658447,3.0857412815093994,0,550922807,-2.3419036865234375,10.0,0.11412099003791809,1.5160667106331218,0.7231879830360413,0.5079947710037231,0.809205949306488,2.9414079189300537,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,1.7020158767700195
1.0517762899398804,random,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.007345137652009726,-8.601565837860107,-1.0611912999302149,0.6111587882041931,-3.041046619415283,0.49647265672683716,0,1459305633,-11.705571174621582,5.0,0.16674040257930756,2.2151014776866282,0.42560747265815735,0.9477079510688782,0.615257978439331,0.23325452208518982,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,0.00888790749013424
1.2368102073669434,random,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.036476802080869675,-19.01993227005005,-2.189325213432312,0.8411431312561035,-4.344763278961182,0.3677254617214203,1,427239399,-22.123937606811523,5.0,0.18406401574611664,2.4452410271363694,0.539646565914154,0.8541175723075867,0.8480210304260254,0.6848235130310059,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,-1.119246006011963
0.429958701133728,random,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.002388650318607688,-2.367250919342041,-0.7488648593425751,0.21819911897182465,11.203733444213867,13.193904876708984,0,438089033,-5.471256256103516,10.0,0.09124461561441422,1.212160218830609,0.8838217854499817,0.2227383852005005,0.8959217071533203,6.522049427032471,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,0.32121434807777405
0.5815200805664062,random,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.0051032863557338715,0.14007019996643066,0.07496154308319092,0.2837340533733368,2.679271697998047,1.853220820426941,1,1345168288,-2.963935136795044,10.0,0.10050304234027863,1.335155931952755,0.859249472618103,0.2683250904083252,0.8855642080307007,5.7133870124816895,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,1.14504075050354
0.5010992288589478,random,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.0014647714560851455,-0.2556920051574707,-0.01700901985168457,0.2013523131608963,4.390105724334717,2.7479612827301025,0,2011280598,-3.3596973419189453,15.0,0.09250461310148239,1.2288989471310798,0.8316348791122437,0.31715166568756104,0.8570358157157898,4.987329959869385,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,1.0530701875686646
0.5791448354721069,random,-3.1040053367614746,0.07527438551187515,1.0700792074203491,0.0013412167318165302,-5.056612491607666,-0.9272195398807526,0.23457683622837067,3.649487257003784,2.3171210289001465,1,725129817,-8.16061782836914,15.0,0.11314023286104202,1.5030376148762215,0.7800983190536499,0.4138942360877991,0.8654877543449402,3.831106424331665,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2412/153948/2412-153948-0003.flac,0,0.14285966753959656
0.6264640688896179,fixed,7.409512519836426,0.07010137289762497,7.990209579467773,0.0062998090870678425,-8.074612259864807,-5.482642412185669,0.3061204254627228,4.87547492980957,3.0728936195373535,0,550922807,-0.6650997400283813,10.0,0.1380576342344284,1.9693998637665169,0.6815721392631531,0.5597974061965942,0.7035941481590271,2.519690990447998,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,2.5075671672821045
0.9158240556716919,random,7.409512519836426,0.07010137289762497,7.990209579467773,0.013734684325754642,-9.415834665298462,-6.041585445404053,0.5600534677505493,-0.2928648889064789,0.9347888231277466,0,1175773957,-2.006322145462036,5.0,0.1438741534948349,2.052372835906461,0.7710590362548828,0.42176079750061035,0.8093656897544861,3.749338150024414,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,1.9486241340637207
1.0070610046386719,random,7.409512519836426,0.07010137289762497,7.990209579467773,0.011253654025495052,-19.818730354309082,-8.333054721355438,0.6253171563148499,-2.207975149154663,0.6014540791511536,1,1600289155,-12.409217834472656,5.0,0.23343269526958466,3.329930436747457,0.6697355508804321,0.6044464707374573,0.8106393814086914,2.1864218711853027,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,-0.3428451418876648
0.5458853244781494,random,7.409512519836426,0.07010137289762497,7.990209579467773,0.0025745159946382046,-8.491309523582458,-5.623761892318726,0.2731425166130066,4.729785919189453,2.9715194702148438,0,859670143,-1.0817970037460327,10.0,0.13297507166862488,1.8968968248713152,0.844515860080719,0.29155433177948,0.8358321189880371,5.352805137634277,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1462/170145/1462-170145-0020.flac,1,2.366447687149048
