layer,raw_mse,normalized_mse,target_power,reconstruction_power,power_ratio,cosine_similarity,pearson_correlation
0,4.28204345703125,0.33370670676231384,12.831757545471191,4.2356719970703125,0.3300929069519043,0.8671208024024963,0.8670709133148193
1,0.30330345034599304,0.12406756728887558,2.4446635246276855,1.863478660583496,0.762263834476471,0.9381738901138306,0.9381735920906067
2,0.13864557445049286,0.09100250899791718,1.5235357284545898,1.3327922821044922,0.8748021125793457,0.9535887241363525,0.95358806848526
3,0.09065020084381104,0.07926369458436966,1.1436535120010376,1.0596822500228882,0.9265763163566589,0.9595547914505005,0.9595517516136169
4,0.06723856180906296,0.07385697960853577,0.910388708114624,0.8740954399108887,0.9601343274116516,0.9625195860862732,0.9625186920166016
5,0.04533454775810242,0.06428864598274231,0.7051718831062317,0.703106164932251,0.9970706105232239,0.9678094983100891,0.9678086042404175
6,0.04315393418073654,0.06668020039796829,0.6471776366233826,0.643742024898529,0.9946913719177246,0.9665745496749878,0.9665765762329102
7,0.029171301051974297,0.056881435215473175,0.5128439664840698,0.5247937440872192,1.0233010053634644,0.9719513058662415,0.9719505310058594
